paper,arm,model,cohort,subgroup,n,mse,rmse,mae,r2,relative_error,mape_percent,s_score_literal_mean,s_score_minus_one_mean,s_score_overflow
p1,selected,P1_GBT,test,all,424,39.867348793305254,6.314059612745611,4.046995537152264,0.9543775705691075,0.04942495167737648,4.942495167737649,1.851644614392286,0.851644614392286,False
p1,selected,P1_GBT,test,STAGE=A,238,56.97426905238495,7.548130169279339,4.624447911600684,0.9591206460621945,0.055401247212311266,5.540124721231127,2.2163536524838703,1.2163536524838698,False
p1,selected,P1_GBT,test,STAGE=B,186,17.97784867684844,4.240029324998642,3.308104864470951,0.7529461111069942,0.04177786384235242,4.177786384235242,1.3849739097374634,0.3849739097374634,False
p1,selected,P1_GBT,test,condition=Cond1,165,39.12463358571741,6.254968711809629,4.6126731176675735,0.050918148145498554,0.0664750218336341,6.64750218336341,1.6608736490553173,0.6608736490553169,False
p1,selected,P1_GBT,test,condition=Cond2,186,17.97784867684844,4.240029324998642,3.308104864470951,0.7529461111069942,0.04177786384235242,4.177786384235242,1.3849739097374634,0.3849739097374634,False
p1,selected,P1_GBT,test,condition=Cond3,73,97.31933551814033,9.86505628560427,4.651062171860454,-5.73885951433854,0.03037148265726649,3.037148265726649,3.471890646534709,2.471890646534709,False
p1,selected,P1_GBT,test,route=123,73,97.31933551814033,9.86505628560427,4.651062171860454,-5.73885951433854,0.03037148265726649,3.037148265726649,3.471890646534709,2.471890646534709,False
p1,selected,P1_GBT,test,route=456,351,27.918645001530436,5.283809705272365,3.9213634450334665,0.6421355904618498,0.05338763896645919,5.338763896645919,1.514670368391155,0.5146703683911552,False
p1,selected,P1_GBT,validation,all,424,69.09136032894348,8.31212128935469,4.7314779545751735,0.9160208932575009,0.05963927474744911,5.963927474744911,10.872762388078737,9.872762388078737,False
p1,selected,P1_GBT,validation,STAGE=A,252,99.39536978353456,9.96972265329054,5.352792163674184,0.9203063944319452,0.0659109095698506,6.59109095698506,17.285270100380423,16.285270100380423,False
p1,selected,P1_GBT,validation,STAGE=B,172,24.692462755937967,4.969151110193568,3.8211803924068546,0.7261434876783909,0.05045060047276785,5.0450600472767855,1.4776929491250974,0.4776929491250973,False
p1,selected,P1_GBT,validation,condition=Cond1,185,96.86233200476146,9.841866286673552,5.434445623741139,-1.1047814918792507,0.07734008362923482,7.734008362923482,21.896655116466512,20.896655116466512,False
p1,selected,P1_GBT,validation,condition=Cond2,172,24.692462755937967,4.969151110193568,3.8211803924068546,0.7261434876783909,0.05045060047276785,5.0450600472767855,1.4776929491250974,0.4776929491250973,False
p1,selected,P1_GBT,validation,condition=Cond3,67,106.38957857566923,10.314532397334803,5.127331117220655,-5.43556816286265,0.034352742390953865,3.4352742390953863,4.552341324620355,3.5523413246203543,False
p1,selected,P1_GBT,validation,route=123,67,106.38957857566923,10.314532397334803,5.127331117220655,-5.43556816286265,0.034352742390953865,3.4352742390953863,4.552341324620355,3.5523413246203543,False
p1,selected,P1_GBT,validation,route=456,357,62.091414607569185,7.879810569269364,4.657186184554873,0.22898068269287564,0.06438492647821993,6.4384926478219935,12.058947853769807,11.058947853769808,False
p1,selected,P1_RF,test,all,424,42.30309961275339,6.504083303029981,4.237892012759265,0.95159020513762,0.05248859183803527,5.248859183803527,2.2652167033688215,1.2652167033688213,False
p1,selected,P1_RF,test,STAGE=A,238,60.65453953809175,7.788102435002492,4.9065669304166075,0.9564800315835122,0.06014107443406056,6.014107443406056,2.9463475153364547,1.9463475153364544,False
p1,selected,P1_RF,test,STAGE=B,186,18.821149600761284,4.338334888037262,3.3822757202729887,0.7413573622803322,0.04269670550548678,4.269670550548678,1.393662223539269,0.3936622235392692,False
p1,selected,P1_RF,test,condition=Cond1,165,64.19027999273804,8.011883673190596,5.068922477029234,-0.5571220538869535,0.07363259678588009,7.363259678588009,3.4797808802582417,2.4797808802582417,False
p1,selected,P1_RF,test,condition=Cond2,186,18.821149600761284,4.338334888037262,3.3822757202729887,0.7413573622803322,0.04269670550548678,4.269670550548678,1.393662223539269,0.3936622235392692,False
p1,selected,P1_RF,test,condition=Cond3,73,52.66279741457616,7.2569137665109515,4.5395989141004005,-2.646625734952215,0.029646537611454776,2.9646537611454775,1.740641964485839,0.7406419644858392,False
p1,selected,P1_RF,test,route=123,73,52.66279741457616,7.2569137665109515,4.5395989141004005,-2.646625734952215,0.029646537611454776,2.9646537611454775,1.740641964485839,0.7406419644858392,False
p1,selected,P1_RF,test,route=456,351,40.14851858844266,6.33628586700779,4.175143853790882,0.48537166120716546,0.05723921850054346,5.723921850054346,2.3743162929370767,1.3743162929370767,False
p1,selected,P1_RF,validation,all,424,58.20630108538254,7.62930541303614,4.693664284743908,0.9292514556282709,0.05956351779610142,5.9563517796101415,4.592232828487111,3.592232828487111,False
p1,selected,P1_RF,validation,STAGE=A,252,81.1173854132583,9.006519050846354,5.365964608630245,0.9349613877194208,0.06643209467836442,6.643209467836442,6.720872559677904,5.720872559677904,False
p1,selected,P1_RF,validation,STAGE=B,172,24.63889846547154,4.96375850192891,3.7086661357941573,0.7267375527547304,0.049500253991855654,4.950025399185566,1.4735281060447876,0.4735281060447874,False
p1,selected,P1_RF,validation,condition=Cond1,185,84.09315305032692,9.170231897303738,5.387323860428808,-0.8273121085438722,0.07769484581892862,7.769484581892862,8.379045918066561,7.379045918066562,False
p1,selected,P1_RF,validation,condition=Cond2,172,24.63889846547154,4.96375850192891,3.7086661357941573,0.7267375527547304,0.049500253991855654,4.950025399185566,1.4735281060447876,0.4735281060447874,False
p1,selected,P1_RF,validation,condition=Cond3,67,72.90071357956138,8.538191470069139,5.306987570081974,-3.409807028504276,0.035333453469343856,3.533345346934386,2.1423341820375743,1.142334182037574,False
p1,selected,P1_RF,validation,route=123,67,72.90071357956138,8.538191470069139,5.306987570081974,-3.409807028504276,0.035333453469343856,3.533345346934386,2.1423341820375743,1.142334182037574,False
p1,selected,P1_RF,validation,route=456,357,55.44852619151705,7.446376715659573,4.578558794218276,0.311468661487734,0.06411089681540887,6.411089681540886,5.052017728521057,4.052017728521057,False
p2,clean_ordinary,P2_Bagging,test,all,424,7.170210676196105,2.6777249067438023,1.9463973862235167,0.9917947282555614,0.022922408162980468,2.2922408162980465,1.2034739237301864,0.2034739237301864,False
p2,clean_ordinary,P2_Bagging,test,STAGE=A,238,7.383692157013843,2.717295007358208,1.9681724388550974,0.994702159938606,0.022358161769544794,2.2358161769544793,1.2095379590281752,0.2095379590281751,False
p2,clean_ordinary,P2_Bagging,test,STAGE=B,186,6.897046200741154,2.6262228010473816,1.9185346844691278,0.9052199116592776,0.023644400859957292,2.3644400859957293,1.195714566735986,0.19571456673598592,False
p2,clean_ordinary,P2_Bagging,test,condition=Cond1,165,6.363257713114815,2.522549843534279,1.7865748774828345,0.8456406652100865,0.02538929165800555,2.538929165800555,1.1966494471554912,0.1966494471554911,False
p2,clean_ordinary,P2_Bagging,test,condition=Cond2,186,6.897046200741154,2.6262228010473816,1.9185346844691278,0.9052199116592776,0.023644400859957292,2.3644400859957293,1.195714566735986,0.19571456673598592,False
p2,clean_ordinary,P2_Bagging,test,condition=Cond3,73,9.690153571306164,3.112901150262591,2.378632680312953,0.32900709564312525,0.015506977775078708,1.5506977775078707,1.2386695269595842,0.23866952695958416,False
p2,clean_ordinary,P2_Bagging,test,route=123,73,9.690153571306164,3.112901150262591,2.378632680312953,0.32900709564312525,0.015506977775078708,1.5506977775078707,1.2386695269595842,0.23866952695958416,False
p2,clean_ordinary,P2_Bagging,test,route=456,351,6.646119988609114,2.5780069799380128,1.856502296569588,0.9148092679529067,0.024464648671005614,2.4464648671005613,1.1961540404374627,0.19615404043746268,False
p2,clean_ordinary,P2_Bagging,validation,all,424,7.095424416851531,2.6637237876423168,2.006114001461932,0.9913756596823512,0.024780804566026264,2.478080456602626,1.2157407816644445,0.2157407816644446,False
p2,clean_ordinary,P2_Bagging,validation,STAGE=A,252,6.853966076664171,2.6180080360197846,1.9385195639579387,0.9945046004629786,0.023200829811159028,2.320082981115903,1.2099497238075623,0.2099497238075621,False
p2,clean_ordinary,P2_Bagging,validation,STAGE=B,172,7.449188961777198,2.7293202380404535,2.105147712223597,0.9173833356008056,0.02709565129990152,2.709565129990152,1.224225354803598,0.224225354803598,False
p2,clean_ordinary,P2_Bagging,validation,condition=Cond1,185,6.697493677520091,2.5879516373997586,1.8920202334252034,0.8544660195283175,0.026623125699273192,2.662312569927319,1.2042123273831822,0.20421232738318226,False
p2,clean_ordinary,P2_Bagging,validation,condition=Cond2,172,7.449188961777198,2.7293202380404535,2.105147712223597,0.9173833356008056,0.02709565129990152,2.709565129990152,1.224225354803598,0.224225354803598,False
p2,clean_ordinary,P2_Bagging,validation,condition=Cond3,67,7.286016731017231,2.699262256805965,2.0669132378169834,0.5592645639171417,0.013751206836515463,1.3751206836515464,1.2257917885614469,0.22579178856144683,False
