stage,view,k,model,rmse_mean,rmse_sd,mse_mean,fitting_seconds_mean,ranking_seconds_mean
A,rows_dc,85,P1_GBT,8.906470645386268,0.38936916805838734,79.46924728871005,4.033848795000813,1.870649070001673
A,rows_dc,85,P1_RF,8.796972516119553,0.25734607164154477,77.44964109992264,1.1798440900049172,1.870649070001673
A,time_ac,5,P1_ERT,12.029982225129277,1.658317990905979,147.3329899679407,0.11511928499967325,2.0420729500096058
A,time_ac,5,P1_GBT,13.104472215533349,1.551169720011497,174.01301317295204,0.2770179100101814,2.0420729500096058
A,time_ac,5,P1_RF,12.577093046548077,1.2921186032730663,159.7693614622061,0.11770110499637668,2.0420729500096058
A,time_ac,20,P1_ERT,9.814034737608004,0.4539785986020272,96.51106957056587,0.12181901000149083,2.0420729500096058
A,time_ac,20,P1_GBT,13.071690117572043,1.0280193111157119,171.8730650486561,0.9819211749971146,2.0420729500096058
A,time_ac,20,P1_RF,10.94844899982494,0.490534991224339,120.0971288505024,0.3356933200033382,2.0420729500096058
A,time_ac,35,P1_ERT,9.814115045483433,0.2084095264123769,96.35811693014874,0.12292757500254084,2.0420729500096058
A,time_ac,35,P1_GBT,10.105399877420504,0.5150543811043777,102.37112364729042,1.6900497899972833,2.0420729500096058
A,time_ac,35,P1_RF,9.821255700027317,0.2912405234468301,96.53764351569176,0.5361103300092509,2.0420729500096058
A,time_ac,50,P1_ERT,10.256310416332273,0.22225289778674043,105.23882988921177,0.13016675999679136,2.0420729500096058
A,time_ac,50,P1_GBT,9.80892830608317,0.3597631318636055,96.33803254937553,2.418532514994149,2.0420729500096058
A,time_ac,50,P1_RF,9.658966054339833,0.3298857275096982,93.3990086024431,0.7383866200048942,2.0420729500096058
A,time_ac,65,P1_ERT,10.41800363060119,0.2140596094036942,108.57833008777872,0.13291764999739825,2.0420729500096058
A,time_ac,65,P1_GBT,9.630590728174003,0.19502028556480885,92.78440903978375,3.096024264994776,2.0420729500096058
A,time_ac,65,P1_RF,9.738258234329795,0.2502571782993206,94.89317066101788,0.9552190550020896,2.0420729500096058
A,time_ac,85,P1_ERT,10.70035883121207,0.2042806712473058,114.53732317971112,0.13378589999338147,2.0420729500096058
A,time_ac,85,P1_GBT,9.512174437438542,0.1498381826497067,90.50279143519003,4.03163035500329,2.0420729500096058
A,time_ac,85,P1_RF,9.723678586335316,0.28811552578777594,94.62878527874594,1.2354393200046616,2.0420729500096058
B,rows_dc,5,P1_ERT,6.110307383459458,0.2107724923430301,37.37806011171123,0.09781031499442179,1.2015479200024857
B,rows_dc,5,P1_GBT,6.448346661405674,0.2168064906466834,41.6258294673289,0.23096062501135747,1.2015479200024857
B,rows_dc,5,P1_RF,6.102426179894239,0.19128483308510236,37.274365674058586,0.09713709999923595,1.2015479200024857
