stage,view,repeat,feature,importance,rank
A,rows_dc,1,c1_std_x15,0.22502580881943468,43
A,rows_dc,1,c1_moment3_x25,0.22488978675775181,44
A,rows_dc,1,c1_skew_x15,0.2219379628605505,45
A,rows_dc,1,c1_moment3_x11,0.21969735440184962,46
A,rows_dc,1,c1_std_x13,0.2186337820562115,47
A,rows_dc,1,c1_skew_x13,0.2184571732941772,48
A,rows_dc,1,c1_moment3_x23,0.20742931097258122,49
A,rows_dc,1,c1_kurtosis_x23,0.20253587363305955,50
A,rows_dc,1,c1_kurtosis_x22,0.20112378644758722,51
A,rows_dc,1,c1_moment3_x19,0.19897851188435722,52
A,rows_dc,1,c1_std_x8,0.1968947569863284,53
A,rows_dc,1,c1_moment3_x24,0.1950828593604938,54
A,rows_dc,1,c1_std_x19,0.1937379299867011,55
A,rows_dc,1,c1_moment3_x15,0.19326581702218937,56
A,rows_dc,1,c1_kurtosis_x18,0.19226512000137458,57
A,rows_dc,1,c1_kurtosis_x12,0.19128820793061352,58
A,rows_dc,1,c1_skew_x18,0.18467407183373516,59
A,rows_dc,1,c1_kurtosis_x20,0.18263938103583874,60
A,rows_dc,1,c1_skew_x11,0.17985546011338585,61
A,rows_dc,1,c1_skew_x19,0.17968679665190568,62
A,rows_dc,1,c1_kurtosis_x25,0.17913515958266799,63
A,rows_dc,1,c1_skew_x7,0.17386439442043575,64
A,rows_dc,1,c1_kurtosis_x19,0.170925819177975,65
A,rows_dc,1,c1_std_x10,0.1696751304869305,66
A,rows_dc,1,c1_std_x11,0.16952035197356063,67
A,rows_dc,1,c1_std_x12,0.16888031078893898,68
A,rows_dc,1,c1_kurtosis_x11,0.16669891607104415,69
A,rows_dc,1,c1_rows_dc_amplitude_x23,0.16074363188309795,70
A,rows_dc,1,c1_std_x25,0.16001528246648364,71
A,rows_dc,1,c1_moment3_x18,0.1594195298890477,72
A,rows_dc,1,c1_std_x23,0.15761584924835417,73
A,rows_dc,1,c1_rows_dc_kurtosis_x23,0.1528374005125242,74
A,rows_dc,1,c1_moment3_x13,0.15256087868347978,75
A,rows_dc,1,c1_skew_x23,0.14619961165527035,76
A,rows_dc,1,c1_kurtosis_x21,0.1428817254033151,77
A,rows_dc,1,c1_moment3_x12,0.13994184015529557,78
A,rows_dc,1,c1_skew_x8,0.1348568875302467,79
A,rows_dc,1,c1_skew_x12,0.13352167505482296,80
A,rows_dc,1,c1_skew_x10,0.13206952171186828,81
A,rows_dc,1,c1_skew_x24,0.1302277493110703,82
A,rows_dc,1,c1_kurtosis_x8,0.12324508135966993,83
A,rows_dc,1,c1_std_x24,0.11835970488480839,84
A,rows_dc,1,c1_kurtosis_x24,-0.07593904967802984,85
A,rows_dc,2,c1_rows_dc_kurtosis_x21,0.6673756973001401,1
A,rows_dc,2,c1_std_x9,0.5679292934963405,2
A,rows_dc,2,c1_std_x7,0.5335738025231352,3
A,rows_dc,2,c1_std_x16,0.5261833200142016,4
A,rows_dc,2,c1_std_x17,0.5227775625890873,5
A,rows_dc,2,c1_moment3_x7,0.5054682003017527,6
A,rows_dc,2,c1_std_x22,0.5033176321002474,7
A,rows_dc,2,c1_kurtosis_x9,0.5004473963532903,8
A,rows_dc,2,c1_rows_dc_centroid_x21,0.49395808770011285,9
A,rows_dc,2,c1_rows_dc_centroid_x22,0.40388408412718513,10
A,rows_dc,2,c1_moment3_x17,0.3901259471915829,11
A,rows_dc,2,c1_moment3_x9,0.37975012548932596,12
A,rows_dc,2,c1_kurtosis_x20,0.3737435562831421,13
A,rows_dc,2,c1_moment3_x21,0.36702633939118007,14
A,rows_dc,2,c1_skew_x12,0.36588404857669704,15
A,rows_dc,2,c1_kurtosis_x7,0.36037810518948304,16
A,rows_dc,2,c1_rows_dc_amplitude_x22,0.35327465592582125,17
A,rows_dc,2,c1_skew_x14,0.346193117345573,18
A,rows_dc,2,c1_skew_x16,0.34129242896357553,19
A,rows_dc,2,c1_moment3_x14,0.33376482580003447,20
A,rows_dc,2,c1_skew_x20,0.33127385603194964,21
A,rows_dc,2,c1_skew_x21,0.3298850698878441,22
A,rows_dc,2,c1_kurtosis_x16,0.32096696861549173,23
A,rows_dc,2,c1_kurtosis_x25,0.3098060785767303,24
A,rows_dc,2,c1_rows_dc_kurtosis_x22,0.3084887308477585,25
A,rows_dc,2,c1_kurtosis_x17,0.30151877604885124,26
A,rows_dc,2,c1_rows_dc_centroid_x23,0.30137445009306013,27
A,rows_dc,2,c1_moment3_x10,0.2985162872644353,28
A,rows_dc,2,c1_skew_x22,0.29843620522290154,29
A,rows_dc,2,c1_std_x14,0.2935611984525821,30
A,rows_dc,2,c1_std_x20,0.2903963933226252,31
A,rows_dc,2,c1_kurtosis_x10,0.27723702679338597,32
A,rows_dc,2,c1_std_x10,0.27502262465307525,33
A,rows_dc,2,c1_std_x18,0.2743266245293832,34
A,rows_dc,2,c1_moment3_x16,0.27409346020948094,35
A,rows_dc,2,c1_kurtosis_x19,0.27271429794533925,36
A,rows_dc,2,c1_kurtosis_x22,0.26747123573838105,37
A,rows_dc,2,c1_skew_x25,0.2661281646106045,38
A,rows_dc,2,c1_std_x13,0.2625978441874915,39
A,rows_dc,2,c1_skew_x17,0.2616304690675301,40
A,rows_dc,2,c1_std_x21,0.2569049501369075,41
A,rows_dc,2,c1_std_x19,0.2552455728403481,42
A,rows_dc,2,c1_kurtosis_x13,0.2514088169230072,43
A,rows_dc,2,c1_skew_x9,0.2501181053958333,44
A,rows_dc,2,c1_skew_x10,0.24988321695495497,45
A,rows_dc,2,c1_moment3_x24,0.24839798431568802,46
A,rows_dc,2,c1_moment3_x8,0.24827638828837123,47
A,rows_dc,2,c1_moment3_x13,0.24354128477722556,48
A,rows_dc,2,c1_kurtosis_x15,0.23815681460016025,49
A,rows_dc,2,c1_moment3_x11,0.23406761480977908,50
A,rows_dc,2,c1_rows_dc_amplitude_x23,0.23347965795758133,51
A,rows_dc,2,c1_skew_x7,0.23198679148053544,52
A,rows_dc,2,c1_kurtosis_x21,0.23111336245306255,53
A,rows_dc,2,c1_moment3_x22,0.23071313437054436,54
A,rows_dc,2,c1_skew_x13,0.2297703975260807,55
A,rows_dc,2,c1_kurtosis_x18,0.2119165438185977,56
A,rows_dc,2,c1_std_x12,0.20765498528923448,57
A,rows_dc,2,c1_rows_dc_amplitude_x21,0.206558910812092,58
A,rows_dc,2,c1_skew_x19,0.20380495219281744,59
A,rows_dc,2,c1_kurtosis_x11,0.2023448088403472,60
A,rows_dc,2,c1_moment3_x12,0.20189995055296645,61
A,rows_dc,2,c1_std_x23,0.20037978135643875,62
A,rows_dc,2,c1_kurtosis_x14,0.1997608226550993,63
A,rows_dc,2,c1_kurtosis_x8,0.19915222295697624,64
A,rows_dc,2,c1_std_x11,0.1972561568512842,65
A,rows_dc,2,c1_moment3_x20,0.19714202067790715,66
A,rows_dc,2,c1_std_x15,0.19487841566351566,67
A,rows_dc,2,c1_std_x8,0.18459390767454406,68
A,rows_dc,2,c1_moment3_x15,0.18034425474202911,69
A,rows_dc,2,c1_kurtosis_x23,0.1675121861692133,70
A,rows_dc,2,c1_moment3_x18,0.16603033014392263,71
A,rows_dc,2,c1_kurtosis_x12,0.1596624691967144,72
A,rows_dc,2,c1_moment3_x23,0.15419551500589448,73
A,rows_dc,2,c1_std_x25,0.15207312545381285,74
A,rows_dc,2,c1_skew_x8,0.14825331769233113,75
A,rows_dc,2,c1_moment3_x19,0.14279286994345594,76
A,rows_dc,2,c1_skew_x11,0.14049052485463884,77
A,rows_dc,2,c1_moment3_x25,0.13616711182141905,78
A,rows_dc,2,c1_skew_x23,0.13525782599097033,79
A,rows_dc,2,c1_skew_x18,0.11608555080948306,80
A,rows_dc,2,c1_rows_dc_kurtosis_x23,0.10756861171675668,81
A,rows_dc,2,c1_std_x24,0.10642814218946282,82
A,rows_dc,2,c1_skew_x15,0.10516007777280116,83
A,rows_dc,2,c1_skew_x24,-0.000934609974053177,84
A,rows_dc,2,c1_kurtosis_x24,-0.020455878600436836,85
A,rows_dc,3,c1_std_x9,0.7233205992919924,1
A,rows_dc,3,c1_rows_dc_kurtosis_x21,0.6341580803007841,2
A,rows_dc,3,c1_std_x22,0.6191817062263544,3
A,rows_dc,3,c1_std_x16,0.6017685130890046,4
A,rows_dc,3,c1_std_x7,0.5100006573779508,5
A,rows_dc,3,c1_std_x17,0.48234953120495144,6
A,rows_dc,3,c1_rows_dc_centroid_x21,0.47454875350643205,7
A,rows_dc,3,c1_kurtosis_x9,0.4701287264380436,8
A,rows_dc,3,c1_moment3_x9,0.4330877916467371,9
A,rows_dc,3,c1_moment3_x7,0.4275921050710732,10
A,rows_dc,3,c1_moment3_x17,0.3925290497668304,11
A,rows_dc,3,c1_moment3_x16,0.36415800432564804,12
A,rows_dc,3,c1_moment3_x14,0.360045231089753,13
A,rows_dc,3,c1_kurtosis_x20,0.35255895230545264,14
A,rows_dc,3,c1_kurtosis_x16,0.34739115570115153,15
A,rows_dc,3,c1_std_x20,0.3295848889420403,16
A,rows_dc,3,c1_kurtosis_x15,0.32888357986538713,17
A,rows_dc,3,c1_skew_x14,0.3245935668289541,18
A,rows_dc,3,c1_rows_dc_centroid_x22,0.32337371681602395,19
A,rows_dc,3,c1_kurtosis_x7,0.31934494514836903,20
A,rows_dc,3,c1_rows_dc_amplitude_x22,0.31695609590446155,21
A,rows_dc,3,c1_skew_x21,0.3154829067976285,22
A,rows_dc,3,c1_std_x14,0.3119275948982157,23
A,rows_dc,3,c1_moment3_x21,0.3069410517824023,24
A,rows_dc,3,c1_kurtosis_x22,0.3060783814949847,25
A,rows_dc,3,c1_std_x13,0.3038656955508045,26
A,rows_dc,3,c1_std_x21,0.29807069995983265,27
A,rows_dc,3,c1_std_x18,0.29658817480117267,28
A,rows_dc,3,c1_kurtosis_x13,0.29301206133674346,29
A,rows_dc,3,c1_rows_dc_amplitude_x21,0.2822816823783057,30
A,rows_dc,3,c1_kurtosis_x14,0.2767742148785083,31
A,rows_dc,3,c1_skew_x17,0.2713518279866399,32
A,rows_dc,3,c1_kurtosis_x17,0.27092581066141647,33
A,rows_dc,3,c1_skew_x22,0.26952588761772905,34
A,rows_dc,3,c1_moment3_x18,0.2530242036149172,35
A,rows_dc,3,c1_moment3_x22,0.2510900679122368,36
A,rows_dc,3,c1_skew_x7,0.25022646247340213,37
A,rows_dc,3,c1_moment3_x10,0.24738707325347087,38
A,rows_dc,3,c1_skew_x13,0.24535051953312073,39
A,rows_dc,3,c1_skew_x10,0.24466339540530538,40
A,rows_dc,3,c1_skew_x20,0.24150246660232136,41
A,rows_dc,3,c1_kurtosis_x25,0.23621352010329194,42
A,rows_dc,3,c1_kurtosis_x23,0.23516261129050747,43
A,rows_dc,3,c1_rows_dc_centroid_x23,0.23345453005727268,44
A,rows_dc,3,c1_skew_x8,0.22783779861502138,45
A,rows_dc,3,c1_moment3_x8,0.22676530608239653,46
A,rows_dc,3,c1_kurtosis_x21,0.2249178023356312,47
A,rows_dc,3,c1_moment3_x23,0.21815609151463758,48
A,rows_dc,3,c1_skew_x12,0.21525742169538828,49
A,rows_dc,3,c1_rows_dc_kurtosis_x22,0.21451842451082548,50
A,rows_dc,3,c1_std_x12,0.21334608772368516,51
A,rows_dc,3,c1_skew_x25,0.20915204615339067,52
A,rows_dc,3,c1_skew_x9,0.20359080029626583,53
A,rows_dc,3,c1_std_x15,0.20204385606258035,54
A,rows_dc,3,c1_kurtosis_x19,0.1958835956321353,55
A,rows_dc,3,c1_rows_dc_kurtosis_x23,0.19101199729891294,56
A,rows_dc,3,c1_moment3_x15,0.18783338179139508,57
A,rows_dc,3,c1_rows_dc_amplitude_x23,0.1866240625761147,58
A,rows_dc,3,c1_skew_x19,0.18414446405864204,59
A,rows_dc,3,c1_moment3_x24,0.1804971635756763,60
A,rows_dc,3,c1_moment3_x12,0.17709412641527694,61
A,rows_dc,3,c1_kurtosis_x12,0.1745711361550866,62
A,rows_dc,3,c1_moment3_x19,0.17409715759637281,63
A,rows_dc,3,c1_skew_x16,0.16483601005041262,64
A,rows_dc,3,c1_std_x8,0.16406729370207349,65
A,rows_dc,3,c1_std_x25,0.16011372078238054,66
A,rows_dc,3,c1_kurtosis_x8,0.15978755551502605,67
A,rows_dc,3,c1_skew_x18,0.15687588208989464,68
A,rows_dc,3,c1_kurtosis_x11,0.15681609480468217,69
A,rows_dc,3,c1_skew_x11,0.1532056336616435,70
A,rows_dc,3,c1_std_x19,0.15178136821024146,71
A,rows_dc,3,c1_moment3_x20,0.14968824019385343,72
A,rows_dc,3,c1_moment3_x13,0.14756698256352532,73
A,rows_dc,3,c1_kurtosis_x10,0.1458159454369314,74
A,rows_dc,3,c1_std_x10,0.1377271668313701,75
A,rows_dc,3,c1_kurtosis_x18,0.1266297275795324,76
A,rows_dc,3,c1_std_x11,0.12336513977438492,77
A,rows_dc,3,c1_moment3_x11,0.11799388995254971,78
A,rows_dc,3,c1_skew_x23,0.11312069364589529,79
A,rows_dc,3,c1_moment3_x25,0.11227927231040954,80
A,rows_dc,3,c1_skew_x15,0.11137469457633882,81
A,rows_dc,3,c1_std_x23,0.11027691779382169,82
A,rows_dc,3,c1_std_x24,0.04659245365489418,83
A,rows_dc,3,c1_kurtosis_x24,0.03742375576174182,84
A,rows_dc,3,c1_skew_x24,-0.03462772238962786,85
A,rows_dc,4,c1_std_x9,0.6398483007875112,1
A,rows_dc,4,c1_std_x7,0.6228063889861669,2
A,rows_dc,4,c1_rows_dc_kurtosis_x21,0.6225257440241537,3
A,rows_dc,4,c1_std_x16,0.6211005937832522,4
A,rows_dc,4,c1_std_x22,0.5483772819310876,5
A,rows_dc,4,c1_kurtosis_x9,0.498623664707978,6
A,rows_dc,4,c1_std_x17,0.47337898266894196,7
A,rows_dc,4,c1_rows_dc_centroid_x21,0.4562367043466407,8
A,rows_dc,4,c1_moment3_x9,0.4196661495184044,9
A,rows_dc,4,c1_moment3_x7,0.4133658247016432,10
A,rows_dc,4,c1_moment3_x17,0.3896692389043096,11
A,rows_dc,4,c1_kurtosis_x7,0.36930532723597137,12
A,rows_dc,4,c1_moment3_x14,0.36783097021976363,13
A,rows_dc,4,c1_skew_x21,0.3628424159315611,14
A,rows_dc,4,c1_rows_dc_amplitude_x22,0.35164793643403985,15
A,rows_dc,4,c1_moment3_x16,0.3492541645624096,16
A,rows_dc,4,c1_kurtosis_x22,0.32995560171090293,17
A,rows_dc,4,c1_kurtosis_x17,0.3177112657156256,18
A,rows_dc,4,c1_rows_dc_centroid_x22,0.31658540806662666,19
A,rows_dc,4,c1_std_x20,0.314003973961196,20
A,rows_dc,4,c1_skew_x17,0.30898324230701407,21
A,rows_dc,4,c1_moment3_x22,0.3085553085323515,22
A,rows_dc,4,c1_rows_dc_kurtosis_x22,0.3041346942348456,23
A,rows_dc,4,c1_moment3_x21,0.300863352175422,24
A,rows_dc,4,c1_skew_x13,0.2926995444731546,25
A,rows_dc,4,c1_skew_x7,0.2917912750073454,26
A,rows_dc,4,c1_skew_x22,0.2904190055127651,27
A,rows_dc,4,c1_kurtosis_x16,0.2902509349127409,28
A,rows_dc,4,c1_std_x14,0.2872147952892467,29
A,rows_dc,4,c1_kurtosis_x13,0.28321147639864336,30
A,rows_dc,4,c1_rows_dc_amplitude_x21,0.2748124395267703,31
A,rows_dc,4,c1_std_x13,0.273135609593392,32
A,rows_dc,4,c1_skew_x16,0.27147831277081885,33
A,rows_dc,4,c1_skew_x14,0.27065595849438706,34
A,rows_dc,4,c1_rows_dc_centroid_x23,0.2627791771162414,35
A,rows_dc,4,c1_kurtosis_x14,0.26143462997026573,36
A,rows_dc,4,c1_moment3_x10,0.2587295176448442,37
A,rows_dc,4,c1_std_x18,0.2549946360541538,38
A,rows_dc,4,c1_kurtosis_x20,0.2549869725452039,39
A,rows_dc,4,c1_std_x12,0.24975479871342487,40
A,rows_dc,4,c1_kurtosis_x18,0.24603734178917663,41
A,rows_dc,4,c1_kurtosis_x12,0.2445420768378566,42
A,rows_dc,4,c1_skew_x9,0.24368640248017662,43
A,rows_dc,4,c1_moment3_x13,0.2426589071443204,44
A,rows_dc,4,c1_skew_x10,0.24027291581444502,45
A,rows_dc,4,c1_skew_x20,0.2380819213114484,46
A,rows_dc,4,c1_std_x25,0.23299923120727145,47
A,rows_dc,4,c1_skew_x25,0.2310838460926217,48
