fold,candidate,model,mse
17,svr_C10_g0.01,P2_SVR,213533.85176695223
17,svr_C100_gscale,P2_SVR,213414.09277580446
17,svr_C100_g0.01,P2_SVR,213383.2197847216
17,bag_T100_L1,P2_Bagging,199808.46744226728
17,bag_T100_L5,P2_Bagging,158033.61265632688
17,bag_T300_L1,P2_Bagging,193498.9775056083
17,bag_T300_L5,P2_Bagging,153990.28501933703
18,svr_C1_gscale,P2_SVR,8.666113754617493
18,svr_C1_g0.01,P2_SVR,8.791167519871374
18,svr_C10_gscale,P2_SVR,9.547123447141841
18,svr_C10_g0.01,P2_SVR,9.076373692738077
18,svr_C100_gscale,P2_SVR,16.32611254281144
18,svr_C100_g0.01,P2_SVR,15.835666991090653
18,bag_T100_L1,P2_Bagging,85163.94380378675
18,bag_T100_L5,P2_Bagging,48429.74466073779
18,bag_T300_L1,P2_Bagging,92255.40735618456
18,bag_T300_L5,P2_Bagging,47118.4567716063
19,svr_C1_gscale,P2_SVR,441416.35669485154
19,svr_C1_g0.01,P2_SVR,441336.7618755771
19,svr_C10_gscale,P2_SVR,441059.80849894846
19,svr_C10_g0.01,P2_SVR,440814.13506250567
19,svr_C100_gscale,P2_SVR,440721.7786107135
19,svr_C100_g0.01,P2_SVR,440578.15139850724
19,bag_T100_L1,P2_Bagging,210546.94791286907
19,bag_T100_L5,P2_Bagging,339771.64881310484
19,bag_T300_L1,P2_Bagging,231590.0486314165
19,bag_T300_L5,P2_Bagging,341140.6946290842
