partition,condition,arm,component,weight
final,Cond2,primary_only,P2_Persistent,0.05734013772797316
final,Cond2,primary_only,P2_KNN,0.033780069912707565
final,Cond2,primary_only,P2_LR,3.3065873432122497e-10
final,Cond2,primary_only,P2_SVR,0.34091003027578193
final,Cond2,primary_only,P2_Bagging,0.5679697617528785
final,Cond3,original,P2_Persistent,0.08775399394173729
final,Cond3,original,P2_KNN,0.28012999175393116
final,Cond3,original,P2_LR,0.018389854226465715
final,Cond3,original,P2_SVR,0.3537117055029965
final,Cond3,original,P2_Bagging,0.26001445457486944
final,Cond3,primary_only,P2_Persistent,0.09341854899167414
final,Cond3,primary_only,P2_KNN,0.2982124936225303
final,Cond3,primary_only,P2_LR,0.11433326827299935
final,Cond3,primary_only,P2_SVR,0.2249828001152014
final,Cond3,primary_only,P2_Bagging,0.26905288899759505
