partition,policy,condition,variant,component,n,component_range_fallback_n,quality_flag_n,feature_flag_n
outer_4,retrospective,Cond1,raw_guarded,ridge_1000,124,0,5,1
outer_4,retrospective,Cond1,raw_guarded,svr_10,124,0,5,1
outer_4,retrospective,Cond1,raw_guarded,bag_2,124,0,5,1
outer_4,retrospective,Cond1,gap_guarded,ridge_1000,124,0,5,1
outer_4,retrospective,Cond1,gap_guarded,svr_10,124,0,5,1
outer_4,retrospective,Cond1,gap_guarded,bag_2,124,0,5,1
outer_4,retrospective,Cond1,phase_guarded,ridge_1000,124,0,5,2
outer_4,retrospective,Cond1,phase_guarded,svr_10,124,0,5,2
outer_4,retrospective,Cond1,phase_guarded,bag_2,124,0,5,2
outer_4,retrospective,Cond2,raw_guarded,ridge_1000,90,0,4,0
outer_4,retrospective,Cond2,raw_guarded,svr_10,90,0,4,0
outer_4,retrospective,Cond2,raw_guarded,bag_2,90,0,4,0
outer_4,retrospective,Cond2,gap_guarded,ridge_1000,90,0,4,0
outer_4,retrospective,Cond2,gap_guarded,svr_10,90,0,4,0
outer_4,retrospective,Cond2,gap_guarded,bag_2,90,0,4,0
outer_4,retrospective,Cond2,phase_guarded,ridge_1000,90,0,4,0
outer_4,retrospective,Cond2,phase_guarded,svr_10,90,0,4,0
outer_4,retrospective,Cond2,phase_guarded,bag_2,90,0,4,0
outer_4,retrospective,Cond3,raw_guarded,ridge_100,45,0,36,0
outer_4,retrospective,Cond3,raw_guarded,svr_10,45,0,36,0
outer_4,retrospective,Cond3,raw_guarded,bag_2,45,0,36,0
outer_4,retrospective,Cond3,gap_guarded,ridge_100,45,0,36,0
outer_4,retrospective,Cond3,gap_guarded,svr_10,45,0,36,0
outer_4,retrospective,Cond3,gap_guarded,bag_2,45,0,36,0
outer_4,retrospective,Cond3,phase_guarded,ridge_100,45,0,36,0
outer_4,retrospective,Cond3,phase_guarded,svr_100,45,0,36,0
outer_4,retrospective,Cond3,phase_guarded,bag_2,45,0,36,0
temporal,completed,Cond1,raw_guarded,ridge_100,74,0,6,0
temporal,completed,Cond1,raw_guarded,svr_100,74,0,6,0
temporal,completed,Cond1,raw_guarded,bag_2,74,0,6,0
temporal,completed,Cond1,gap_guarded,ridge_100,74,0,6,0
temporal,completed,Cond1,gap_guarded,svr_100,74,0,6,0
temporal,completed,Cond1,gap_guarded,bag_2,74,0,6,0
temporal,completed,Cond1,phase_guarded,ridge_10,74,0,6,2
temporal,completed,Cond1,phase_guarded,svr_100,74,0,6,2
temporal,completed,Cond1,phase_guarded,bag_2,74,0,6,2
temporal,completed,Cond2,raw_guarded,ridge_10,67,0,7,0
temporal,completed,Cond2,raw_guarded,svr_10,67,0,7,0
temporal,completed,Cond2,raw_guarded,bag_2,67,0,7,0
temporal,completed,Cond2,gap_guarded,ridge_10,67,0,7,0
temporal,completed,Cond2,gap_guarded,svr_10,67,0,7,0
temporal,completed,Cond2,gap_guarded,bag_2,67,0,7,0
temporal,completed,Cond2,phase_guarded,ridge_1000,67,0,7,1
temporal,completed,Cond2,phase_guarded,svr_100,67,0,7,1
temporal,completed,Cond2,phase_guarded,bag_2,67,0,7,1
temporal,completed,Cond3,raw_guarded,ridge_100,25,0,22,0
temporal,completed,Cond3,raw_guarded,svr_10,25,0,22,0
temporal,completed,Cond3,raw_guarded,bag_5,25,0,22,0
temporal,completed,Cond3,gap_guarded,ridge_100,25,0,22,0
temporal,completed,Cond3,gap_guarded,svr_10,25,0,22,0
temporal,completed,Cond3,gap_guarded,bag_5,25,0,22,0
temporal,completed,Cond3,phase_guarded,ridge_1000,25,0,22,0
temporal,completed,Cond3,phase_guarded,svr_10,25,0,22,0
temporal,completed,Cond3,phase_guarded,bag_5,25,0,22,0
temporal,retrospective,Cond1,raw_guarded,ridge_1000,74,0,6,0
temporal,retrospective,Cond1,raw_guarded,svr_10,74,0,6,0
temporal,retrospective,Cond1,raw_guarded,bag_2,74,0,6,0
temporal,retrospective,Cond1,gap_guarded,ridge_1000,74,0,6,0
temporal,retrospective,Cond1,gap_guarded,svr_1000,74,0,6,0
temporal,retrospective,Cond1,gap_guarded,bag_2,74,0,6,0
temporal,retrospective,Cond1,phase_guarded,ridge_1000,74,0,6,2
temporal,retrospective,Cond1,phase_guarded,svr_10,74,0,6,2
temporal,retrospective,Cond1,phase_guarded,bag_2,74,0,6,2
temporal,retrospective,Cond2,raw_guarded,ridge_1000,67,0,7,0
temporal,retrospective,Cond2,raw_guarded,svr_10,67,0,7,0
temporal,retrospective,Cond2,raw_guarded,bag_2,67,0,7,0
temporal,retrospective,Cond2,gap_guarded,ridge_1000,67,0,7,0
temporal,retrospective,Cond2,gap_guarded,svr_10,67,0,7,0
temporal,retrospective,Cond2,gap_guarded,bag_2,67,0,7,0
temporal,retrospective,Cond2,phase_guarded,ridge_1000,67,0,7,1
temporal,retrospective,Cond2,phase_guarded,svr_10,67,0,7,1
temporal,retrospective,Cond2,phase_guarded,bag_2,67,0,7,1
temporal,retrospective,Cond3,raw_guarded,ridge_1000,25,0,22,0
temporal,retrospective,Cond3,raw_guarded,svr_10,25,0,22,0
temporal,retrospective,Cond3,raw_guarded,bag_2,25,0,22,0
temporal,retrospective,Cond3,gap_guarded,ridge_1000,25,0,22,0
temporal,retrospective,Cond3,gap_guarded,svr_10,25,0,22,0
temporal,retrospective,Cond3,gap_guarded,bag_2,25,0,22,0
temporal,retrospective,Cond3,phase_guarded,ridge_1000,25,0,22,0
temporal,retrospective,Cond3,phase_guarded,svr_10,25,0,22,0
temporal,retrospective,Cond3,phase_guarded,bag_2,25,0,22,0
test,completed,Cond1,raw_guarded,ridge_10,165,0,14,1
test,completed,Cond1,raw_guarded,svr_1000,165,0,14,1
test,completed,Cond1,raw_guarded,bag_2,165,0,14,1
test,completed,Cond1,gap_guarded,ridge_10,165,0,14,2
test,completed,Cond1,gap_guarded,svr_1000,165,0,14,2
test,completed,Cond1,gap_guarded,bag_2,165,0,14,2
test,completed,Cond1,phase_guarded,ridge_10,165,0,14,0
test,completed,Cond1,phase_guarded,svr_10,165,0,14,0
test,completed,Cond1,phase_guarded,bag_2,165,0,14,0
test,completed,Cond2,raw_guarded,ridge_100,186,0,10,0
test,completed,Cond2,raw_guarded,svr_10,186,0,10,0
test,completed,Cond2,raw_guarded,bag_2,186,0,10,0
test,completed,Cond2,gap_guarded,ridge_100,186,0,10,0
test,completed,Cond2,gap_guarded,svr_10,186,0,10,0
test,completed,Cond2,gap_guarded,bag_2,186,0,10,0
test,completed,Cond2,phase_guarded,ridge_1000,186,0,10,1
test,completed,Cond2,phase_guarded,svr_100,186,0,10,1
test,completed,Cond2,phase_guarded,bag_2,186,0,10,1
test,completed,Cond3,raw_guarded,ridge_1000,73,0,62,0
test,completed,Cond3,raw_guarded,svr_10,73,0,62,0
test,completed,Cond3,raw_guarded,bag_5,73,0,62,0
test,completed,Cond3,gap_guarded,ridge_1000,73,0,62,0
test,completed,Cond3,gap_guarded,svr_10,73,0,62,0
test,completed,Cond3,gap_guarded,bag_5,73,0,62,0
test,completed,Cond3,phase_guarded,ridge_1000,73,0,62,0
test,completed,Cond3,phase_guarded,svr_10,73,0,62,0
test,completed,Cond3,phase_guarded,bag_5,73,0,62,0
test,retrospective,Cond1,raw_guarded,ridge_1000,165,0,14,1
test,retrospective,Cond1,raw_guarded,svr_10,165,0,14,1
test,retrospective,Cond1,raw_guarded,bag_2,165,0,14,1
test,retrospective,Cond1,gap_guarded,ridge_1000,165,0,14,2
test,retrospective,Cond1,gap_guarded,svr_10,165,0,14,2
test,retrospective,Cond1,gap_guarded,bag_2,165,0,14,2
test,retrospective,Cond1,phase_guarded,ridge_1000,165,0,14,0
test,retrospective,Cond1,phase_guarded,svr_10,165,0,14,0
test,retrospective,Cond1,phase_guarded,bag_2,165,0,14,0
test,retrospective,Cond2,raw_guarded,ridge_1000,186,0,10,0
test,retrospective,Cond2,raw_guarded,svr_10,186,0,10,0
test,retrospective,Cond2,raw_guarded,bag_2,186,0,10,0
test,retrospective,Cond2,gap_guarded,ridge_1000,186,0,10,0
test,retrospective,Cond2,gap_guarded,svr_10,186,0,10,0
test,retrospective,Cond2,gap_guarded,bag_2,186,0,10,0
test,retrospective,Cond2,phase_guarded,ridge_1000,186,0,10,1
test,retrospective,Cond2,phase_guarded,svr_10,186,0,10,1
test,retrospective,Cond2,phase_guarded,bag_2,186,0,10,1
test,retrospective,Cond3,raw_guarded,ridge_1000,73,0,62,0
test,retrospective,Cond3,raw_guarded,svr_10,73,0,62,0
test,retrospective,Cond3,raw_guarded,bag_10,73,0,62,0
test,retrospective,Cond3,gap_guarded,ridge_1000,73,0,62,0
test,retrospective,Cond3,gap_guarded,svr_10,73,0,62,0
test,retrospective,Cond3,gap_guarded,bag_10,73,0,62,0
test,retrospective,Cond3,phase_guarded,ridge_1000,73,0,62,0
test,retrospective,Cond3,phase_guarded,svr_10,73,0,62,0
test,retrospective,Cond3,phase_guarded,bag_2,73,0,62,0
validation,completed,Cond1,raw_guarded,ridge_10,185,0,15,3
validation,completed,Cond1,raw_guarded,svr_1000,185,0,15,3
validation,completed,Cond1,raw_guarded,bag_2,185,0,15,3
validation,completed,Cond1,gap_guarded,ridge_10,185,0,15,3
validation,completed,Cond1,gap_guarded,svr_1000,185,0,15,3
validation,completed,Cond1,gap_guarded,bag_2,185,0,15,3
validation,completed,Cond1,phase_guarded,ridge_10,185,0,15,5
validation,completed,Cond1,phase_guarded,svr_10,185,0,15,5
validation,completed,Cond1,phase_guarded,bag_2,185,0,15,5
validation,completed,Cond2,raw_guarded,ridge_100,172,0,17,0
validation,completed,Cond2,raw_guarded,svr_10,172,0,17,0
