evaluation,policy,model,dimension,value,n,mse,rmse,mae,r2,relative_error,mape_percent,s_score_literal_mean,s_score_minus_one_mean,s_score_overflow
temporal,retrospective,previous_proposed,all,all,166,39.72571345551108,6.302833763912156,4.985298074351618,0.9408528686178362,0.05459983435683746,5.459983435683746,1.577809338163858,0.5778093381638582,False
temporal,retrospective,previous_proposed,STAGE,A,99,17.504981872989262,4.183895538011108,3.1332607002871695,0.984017355299191,0.032754103715081806,3.2754103715081806,1.3707236957247728,0.3707236957247731,False
temporal,retrospective,previous_proposed,STAGE,B,67,72.55933176401346,8.518176551587404,7.72189061214834,-4.1203424739061285,0.0868793467976406,8.68793467976406,1.8838015560962373,0.8838015560962373,False
temporal,retrospective,previous_proposed,condition,Cond1,74,12.010256468791885,3.46558169270209,2.5369693877934743,-0.6223621791453866,0.03280407846055578,3.2804078460555783,1.259200453094692,0.25920045309469214,False
temporal,retrospective,previous_proposed,condition,Cond2,67,72.55933176401346,8.518176551587404,7.72189061214834,-4.1203424739061285,0.0868793467976406,8.68793467976406,1.8838015560962373,0.8838015560962373,False
temporal,retrospective,previous_proposed,condition,Cond3,25,33.769369069413486,5.811141804276805,4.898282985268508,-2.0595495995243827,0.032606178468478846,3.2606178468478846,1.7008324939098127,0.700832493909813,False
temporal,retrospective,raw_guarded,all,all,166,29.64326833404958,5.444563190380802,4.343633650153421,0.9558644984761745,0.046653961251951204,4.66539612519512,1.5006654481116506,0.5006654481116505,False
temporal,retrospective,raw_guarded,STAGE,A,99,17.474493829010495,4.180250450512564,3.1265509138467067,0.9840451919218206,0.03155051435780243,3.155051435780243,1.3954632665772557,0.39546326657725545,False
temporal,retrospective,raw_guarded,STAGE,B,67,47.62399484149539,6.901014044435454,6.142009633651402,-2.3607140203148296,0.06897099472240982,6.897099472240982,1.6561134476923234,0.6561134476923236,False
temporal,retrospective,raw_guarded,condition,Cond1,74,8.633117046807069,2.938216643953789,2.25110426805242,-0.16617348024741818,0.029362038375617246,2.9362038375617248,1.2391877720899052,0.2391877720899052,False
temporal,retrospective,raw_guarded,condition,Cond2,67,47.62399484149539,6.901014044435454,6.142009633651402,-2.3607140203148296,0.06897099472240982,6.897099472240982,1.6561134476923234,0.6561134476923236,False
temporal,retrospective,raw_guarded,condition,Cond3,25,43.64496910433263,6.606433917351526,5.7178729853977925,-2.954292052952892,0.03802840326507059,3.8028403265070594,1.8580387302598123,0.858038730259812,False
temporal,retrospective,raw_unprotected,all,all,166,33.04844591357928,5.748777775630162,4.48593278560602,0.9507945710121505,0.049234399044878495,4.923439904487849,1.5153312681864968,0.5153312681864968,False
temporal,retrospective,raw_unprotected,STAGE,A,99,12.82087903860029,3.580625509404787,2.7343021106824006,0.9882941007358492,0.028709362798260276,2.8709362798260276,1.3236522847445653,0.3236522847445655,False
temporal,retrospective,raw_unprotected,STAGE,B,67,62.9369402512348,7.933280547871404,7.074163185866294,-3.4413127920496818,0.07956243767794127,7.956243767794128,1.7985584228245743,0.7985584228245743,False
temporal,retrospective,raw_unprotected,condition,Cond1,74,7.912209168120725,2.812864939544863,2.198344619815458,-0.06879223946644575,0.028683722725358716,2.8683722725358716,1.23051515868212,0.2305151586821199,False
temporal,retrospective,raw_unprotected,condition,Cond2,67,62.9369402512348,7.933280547871404,7.074163185866294,-3.4413127920496818,0.07956243767794127,7.956243767794128,1.7985584228245743,0.7985584228245743,False
temporal,retrospective,raw_unprotected,condition,Cond3,25,27.3505418552198,5.229774551089157,4.320736283648549,-1.4779953456609243,0.028785257414048887,2.878525741404889,1.5993381778894045,0.5993381778894046,False
temporal,retrospective,selected,all,all,166,30.21455123635806,5.496776440456539,4.423397517921775,0.9550139223142872,0.047882496705781374,4.788249670578137,1.5095766458450541,0.509576645845054,False
