model,group_id,n,mae,rmse,r2,negative_predictions
RandomForest,CMP-training-145.csv,11,5.200454901315291,6.310842453981958,-1.0433462314005335,0
RandomForest,CMP-training-166.csv,3,2.610369999594141,3.5241573907802466,-5.948419564859144,0
RandomForest,CMP-training-167.csv,6,3.1608089501882546,4.115015933421379,-0.39869732329302154,0
RandomForest,CMP-training-169.csv,3,2.1152958202533605,2.482695013787081,-2.701079715708734,0
RandomForest,CMP-training-171.csv,9,2.4619302228835855,3.1799216908314416,-0.6135529446596819,0
RandomForest,CMP-training-172.csv,43,2.677788977531186,3.6649501278547696,0.08305185325666353,0
RandomForest,CMP-training-182.csv,3,2.430229412733984,3.456564987646385,-1.8441766253263565,0
StageMean,CMP-training-014.csv,22,15.989174165120586,18.64507135285621,-2.5697579740852112,0
StageMean,CMP-training-018.csv,1,4.03815841836736,4.03815841836736,,0
StageMean,CMP-training-029.csv,5,11.830131581632639,11.874728327256248,-132.3849419322239,0
StageMean,CMP-training-044.csv,1,21.321949362244887,21.321949362244887,,0
StageMean,CMP-training-045.csv,3,21.152149362244884,21.181293873550707,-362.6340980138025,0
StageMean,CMP-training-047.csv,3,18.891434056122453,18.938860254297857,-198.91696373526176,0
StageMean,CMP-training-049.csv,3,24.09668316326531,24.19880938405429,-117.72553535107555,0
StageMean,CMP-training-051.csv,4,10.206686862244887,12.746604544128257,-1.7869194257210426,0
StageMean,CMP-training-053.csv,8,15.818527806122457,16.22128180106593,-19.39109530757818,0
StageMean,CMP-training-056.csv,1,16.392934056122456,16.392934056122456,,0
StageMean,CMP-training-058.csv,5,15.195064056122453,15.37007192739398,-43.16394752725147,0
StageMean,CMP-training-059.csv,1,12.685033163265317,12.685033163265317,,0
StageMean,CMP-training-063.csv,1,21.619933163265316,21.619933163265316,,0
StageMean,CMP-training-067.csv,2,15.279516581632642,15.284798007138068,-1446.283423811685,0
StageMean,CMP-training-071.csv,3,18.35424158163264,18.368298762050138,-652.5923100158266,0
StageMean,CMP-training-072.csv,58,5.10221038037681,6.241438313155377,-1.5695903792398966,0
StageMean,CMP-training-087.csv,61,4.241098808129814,5.323658623413964,-0.1522120492896193,0
StageMean,CMP-training-099.csv,3,1.4645664540816294,1.75645444562084,-0.08748987046730639,0
StageMean,CMP-training-101.csv,64,4.975249457908159,6.023334060777425,-1.0325113298629773,0
StageMean,CMP-training-115.csv,7,3.158099726676379,4.080172907201006,-0.0038243891972573607,0
StageMean,CMP-training-118.csv,4,4.75807844387754,5.069954655843667,-7.386085562822828,0
StageMean,CMP-training-130.csv,4,9.963954336734687,10.482666571655455,-9.360852892083349,0
StageMean,CMP-training-134.csv,85,4.048408829531813,5.119384905588559,-0.004738719332430197,0
StageMean,CMP-training-137.csv,62,5.819501279624763,7.077754699996374,-1.476489790430136,0
StageMean,CMP-training-145.csv,11,10.929918819573295,11.787877769608185,-6.1291627981602534,0
StageMean,CMP-training-166.csv,3,2.2102659438775447,2.583154482926814,-2.7331565413664514,0
StageMean,CMP-training-167.csv,6,7.777400637755115,8.520239431797306,-4.996313077792327,0
StageMean,CMP-training-169.csv,3,7.942166836734685,8.046329168169063,-37.87561617667335,0
StageMean,CMP-training-171.csv,9,3.5630901785714206,3.823108310644954,-1.332295497982956,0
StageMean,CMP-training-172.csv,43,5.762950515463929,6.628412058772562,-1.999353375621601,0
StageMean,CMP-training-182.csv,3,2.107252806122451,2.181731241981754,-0.1331035785737531,0
XGBoost,CMP-training-014.csv,22,4.35036967606978,5.31743940265717,0.7096540504726515,0
XGBoost,CMP-training-018.csv,1,8.241803076171877,8.241803076171877,,0
XGBoost,CMP-training-029.csv,5,1.915813559570313,2.3521502177971776,-4.233467688658964,0
XGBoost,CMP-training-044.csv,1,4.101307897949219,4.101307897949219,,0
XGBoost,CMP-training-045.csv,3,1.9746394083658838,2.3126171949707133,-3.334780685857564,0
XGBoost,CMP-training-047.csv,3,1.3596292765299463,1.5184997652622645,-0.2852021000060052,0
XGBoost,CMP-training-049.csv,3,5.543229547119142,5.768413973196265,-5.746351726764185,0
XGBoost,CMP-training-051.csv,4,5.19812839355469,5.353269299378422,0.5084433555339787,0
XGBoost,CMP-training-053.csv,8,2.9781395324707063,3.4305346915501165,0.08800208078152905,0
XGBoost,CMP-training-056.csv,1,2.9288998901367194,2.9288998901367194,,0
XGBoost,CMP-training-058.csv,5,2.037607982177735,2.7116946744706834,-0.3746674895212523,0
XGBoost,CMP-training-059.csv,1,1.8093406250000044,1.8093406250000044,,0
XGBoost,CMP-training-063.csv,1,7.182526452636722,7.182526452636722,,0
XGBoost,CMP-training-067.csv,2,5.642545202636718,7.869521024511678,-382.6460936083487,0
XGBoost,CMP-training-071.csv,3,3.875175781249998,4.113864909076956,-31.784541704390215,0
XGBoost,CMP-training-072.csv,58,3.2394351781384696,4.048897949507852,-0.08135475408349757,0
XGBoost,CMP-training-087.csv,61,3.0635979728323517,3.8267677274238974,0.4046447051534422,0
XGBoost,CMP-training-099.csv,3,1.2812399414062507,1.456707405217713,0.2520094777127121,0
XGBoost,CMP-training-101.csv,64,3.550700796699524,4.2373062236346435,-0.005862868541459676,0
XGBoost,CMP-training-115.csv,7,4.635928716169084,4.930570460714136,-0.46586827823280896,0
XGBoost,CMP-training-118.csv,4,3.3331451873779336,3.3856839421957607,-2.739762016749969,0
XGBoost,CMP-training-130.csv,4,2.152774111938477,3.1601566825817176,0.05839404895232336,0
XGBoost,CMP-training-134.csv,85,4.280288099006204,5.094683631525419,0.0049337128545334785,0
XGBoost,CMP-training-137.csv,62,2.7021389457456544,3.65403433418978,0.33992881276972897,0
XGBoost,CMP-training-145.csv,11,4.532288716264205,5.9637520955763055,-0.824762925660347,0
