cohort,stage,model,primary,slice,n,mae,rmse,r2,negative_predictions,coverage_90,mean_interval_width
test,A,GlobalMean,False,group_id=test/CMP-test-178.csv,2,30.656615601185443,30.694082738118624,-408.86355325241266,0,1.0,96.31228120237088
test,A,GlobalMean,False,group_id=test/CMP-test-183.csv,2,35.66946560118544,35.67212621893706,-6702.980035423925,0,1.0,96.31228120237088
test,A,GlobalMean,False,chamber_route=1-2-3,40,45.96856314881455,46.102840076348336,-170.9211084988205,0,0.8,96.31228120237088
test,A,GlobalMean,False,chamber_route=4-5-6,49,34.00291509098137,34.58071330863478,-29.176664835232433,0,0.9795918367346939,96.31228120237088
test,A,KNN,False,all,89,12.369140655825749,51.445397799203285,-0.6439881333548281,0,0.9550561797752809,33.91243313000805
test,A,KNN,False,group_id=test/CMP-test-005.csv,1,6.375716000369536,6.375716000369536,,0,1.0,33.91243313000805
test,A,KNN,False,group_id=test/CMP-test-006.csv,1,3.860075663075463,3.860075663075463,,0,1.0,33.912433130008054
test,A,KNN,False,group_id=test/CMP-test-011.csv,2,3.37099155604011,3.507836741739284,-0.885232553330644,0,1.0,33.912433130008054
test,A,KNN,False,group_id=test/CMP-test-013.csv,1,0.5010470500607198,0.5010470500607198,,0,1.0,33.912433130008026
test,A,KNN,False,group_id=test/CMP-test-015.csv,2,2.9205853521452525,3.831957817686228,-8.338955738173158,0,1.0,33.91243313000808
test,A,KNN,False,group_id=test/CMP-test-018.csv,1,2.733446704288667,2.733446704288667,,0,1.0,33.912433130008054
test,A,KNN,False,group_id=test/CMP-test-021.csv,2,0.7710740381450307,0.8843109872137367,0.9994870825341589,0,1.0,33.91243313000804
test,A,KNN,False,group_id=test/CMP-test-029.csv,3,2.6351543022358093,2.7744136897381106,0.9940268467457081,0,1.0,33.91243313000806
test,A,KNN,False,group_id=test/CMP-test-034.csv,2,3.051027972806345,3.102463347828862,-15.97214986856541,0,1.0,33.912433130008054
test,A,KNN,False,group_id=test/CMP-test-037.csv,1,1.0242028397497762,1.0242028397497762,,0,1.0,33.91243313000805
test,A,KNN,False,group_id=test/CMP-test-038.csv,1,4.335985605839596,4.335985605839596,,0,1.0,33.912433130008054
test,A,KNN,False,group_id=test/CMP-test-044.csv,1,17.60804307497719,17.60804307497719,,0,0.0,33.91243313000804
test,A,KNN,False,group_id=test/CMP-test-047.csv,1,8.512789733178828,8.512789733178828,,0,1.0,33.912433130008054
test,A,KNN,False,group_id=test/CMP-test-048.csv,2,11.169879572811112,11.615869852152578,-4047.925634288118,0,1.0,33.91243313000805
test,A,KNN,False,group_id=test/CMP-test-050.csv,1,0.2771795767566232,0.2771795767566232,,0,1.0,33.912433130008026
test,A,KNN,False,group_id=test/CMP-test-052.csv,1,6.880278949208687,6.880278949208687,,0,1.0,33.912433130008054
test,A,KNN,False,group_id=test/CMP-test-057.csv,2,2.6665980508024347,3.1399372750577506,-0.19781133142505758,0,1.0,33.91243313000808
test,A,KNN,False,group_id=test/CMP-test-059.csv,1,11.441786579401004,11.441786579401004,,0,1.0,33.912433130008054
test,A,KNN,False,group_id=test/CMP-test-061.csv,1,4.033479062574145,4.033479062574145,,0,1.0,33.91243313000808
test,A,KNN,False,group_id=test/CMP-test-062.csv,1,1.1508984752809823,1.1508984752809823,,0,1.0,33.912433130008054
test,A,KNN,False,group_id=test/CMP-test-063.csv,1,0.6373523634603089,0.6373523634603089,,0,1.0,33.91243313000808
test,A,KNN,False,group_id=test/CMP-test-068.csv,2,132.02915059634228,184.34837739637544,-29940.505662901713,0,0.5,33.912433130008026
test,A,KNN,False,group_id=test/CMP-test-071.csv,1,6.179697339318665,6.179697339318665,,0,1.0,33.912433130008054
test,A,KNN,False,group_id=test/CMP-test-080.csv,4,1.067430795988905,1.2503904280566491,0.9986440485579327,0,1.0,33.91243313000807
test,A,KNN,False,group_id=test/CMP-test-085.csv,4,1.2592716701769824,1.3540878186183163,0.9987692869229695,0,1.0,33.912433130008054
test,A,KNN,False,group_id=test/CMP-test-086.csv,3,2.380647678798482,2.4578730987947766,0.9962760022284779,0,1.0,33.91243313000805
test,A,KNN,False,group_id=test/CMP-test-087.csv,1,0.41540404679473397,0.41540404679473397,,0,1.0,33.912433130008054
test,A,KNN,False,group_id=test/CMP-test-090.csv,1,1.6003159640618065,1.6003159640618065,,0,1.0,33.912433130008054
test,A,KNN,False,group_id=test/CMP-test-092.csv,1,2.3943500086498233,2.3943500086498233,,0,1.0,33.912433130008054
test,A,KNN,False,group_id=test/CMP-test-099.csv,2,1.6201865633931405,1.859401655196498,0.34738293575261037,0,1.0,33.91243313000807
test,A,KNN,False,group_id=test/CMP-test-105.csv,1,0.34165500924430603,0.34165500924430603,,0,1.0,33.912433130008054
test,A,KNN,False,group_id=test/CMP-test-109.csv,2,3.013952115891513,3.0681597627572996,-15.447858902963915,0,1.0,33.912433130008026
test,A,KNN,False,group_id=test/CMP-test-112.csv,1,0.18860729933325615,0.18860729933325615,,0,1.0,33.91243313000808
test,A,KNN,False,group_id=test/CMP-test-115.csv,5,54.21064800986604,120.03380638876419,-5584.607885703513,0,0.8,33.91243313000804
test,A,KNN,False,group_id=test/CMP-test-116.csv,1,0.11183927106355895,0.11183927106355895,,0,1.0,33.912433130008026
test,A,KNN,False,group_id=test/CMP-test-119.csv,1,1.2123981147417453,1.2123981147417453,,0,1.0,33.912433130008054
test,A,KNN,False,group_id=test/CMP-test-120.csv,3,5.276500522171176,6.4012825688851915,0.9737133670412922,0,1.0,33.912433130008054
test,A,KNN,False,group_id=test/CMP-test-126.csv,1,10.754516340732124,10.754516340732124,,0,1.0,33.91243313000808
test,A,KNN,False,group_id=test/CMP-test-128.csv,3,5.135366217839031,6.327083472382113,0.14179192870653246,0,1.0,33.91243313000806
test,A,KNN,False,group_id=test/CMP-test-134.csv,1,2.616948653848425,2.616948653848425,,0,1.0,33.91243313000806
test,A,KNN,False,group_id=test/CMP-test-135.csv,2,1.555153459581362,1.5626566459172397,0.29626957893150774,0,1.0,33.912433130008026
test,A,KNN,False,group_id=test/CMP-test-136.csv,1,306.3780842375392,306.3780842375392,,0,0.0,33.91243313000797
test,A,KNN,False,group_id=test/CMP-test-142.csv,1,2.4134276423590677,2.4134276423590677,,0,1.0,33.912433130008054
test,A,KNN,False,group_id=test/CMP-test-144.csv,1,2.730941491470176,2.730941491470176,,0,1.0,33.91243313000803
test,A,KNN,False,group_id=test/CMP-test-147.csv,1,2.8395060239730583,2.8395060239730583,,0,1.0,33.912433130008054
test,A,KNN,False,group_id=test/CMP-test-148.csv,1,4.2905585076508,4.2905585076508,,0,1.0,33.912433130008054
test,A,KNN,False,group_id=test/CMP-test-150.csv,2,2.6274063961375234,2.628570859922988,0.4174262340687007,0,1.0,33.91243313000807
test,A,KNN,False,group_id=test/CMP-test-154.csv,1,1.8657302983768034,1.8657302983768034,,0,1.0,33.91243313000808
test,A,KNN,False,group_id=test/CMP-test-158.csv,2,2.256063089940085,2.847222313459027,-0.9738647684070592,0,1.0,33.912433130008054
test,A,KNN,False,group_id=test/CMP-test-164.csv,1,2.0986657171633283,2.0986657171633283,,0,1.0,33.912433130008026
test,A,KNN,False,group_id=test/CMP-test-165.csv,1,2.6330533301898242,2.6330533301898242,,0,1.0,33.912433130008026
test,A,KNN,False,group_id=test/CMP-test-167.csv,2,1.2761257511518096,1.3949392683029207,-7.317701286289481,0,1.0,33.912433130008026
test,A,KNN,False,group_id=test/CMP-test-169.csv,1,2.7655656750639253,2.7655656750639253,,0,1.0,33.912433130008026
test,A,KNN,False,group_id=test/CMP-test-176.csv,1,2.5524609879898463,2.5524609879898463,,0,1.0,33.912433130008054
test,A,KNN,False,group_id=test/CMP-test-178.csv,2,1.4078932477734583,1.5223615160954016,-0.008243835987224779,0,1.0,33.91243313000807
test,A,KNN,False,group_id=test/CMP-test-183.csv,2,4.491139563827858,4.491489876398492,-105.28098494968961,0,1.0,33.91243313000805
test,A,KNN,False,chamber_route=1-2-3,40,22.959649038227205,76.52757983202766,-472.70699815924115,0,0.925,33.91243313000805
test,A,KNN,False,chamber_route=4-5-6,49,3.7238276906000745,5.1332409542626305,0.33505359009510327,0,0.9795918367346939,33.912433130008054
test,A,LightGBM,False,all,89,2.2900954966584024,3.164644817633586,0.9937790663774497,0,0.9550561797752809,15.324210986098395
test,A,LightGBM,False,group_id=test/CMP-test-005.csv,1,4.133642612606614,4.133642612606614,,0,1.0,15.324210986098386
test,A,LightGBM,False,group_id=test/CMP-test-006.csv,1,3.720788706165777,3.720788706165777,,0,1.0,15.324210986098393
test,A,LightGBM,False,group_id=test/CMP-test-011.csv,2,2.177956423451942,2.3041923676683296,0.18656350630089769,0,1.0,15.324210986098397
test,A,LightGBM,False,group_id=test/CMP-test-013.csv,1,0.9511621729539286,0.9511621729539286,,0,1.0,15.324210986098421
test,A,LightGBM,False,group_id=test/CMP-test-015.csv,2,1.3042813949234073,1.3492751283224298,-0.15786495005048962,0,1.0,15.324210986098421
test,A,LightGBM,False,group_id=test/CMP-test-018.csv,1,3.543595290009222,3.543595290009222,,0,1.0,15.324210986098421
test,A,LightGBM,False,group_id=test/CMP-test-021.csv,2,1.1374919073682292,1.3665208991645283,0.9987751863943142,0,1.0,15.324210986098379
