cohort_variant,evaluation,model,condition,n,mse,rmse,mae,p95_abs_error,seed_rmse_min,seed_rmse_max
clean,outer_0,compact12_bag,Cond1,269,29.47081780230627,5.428703141847625,4.37981510725381,10.393755895907073,5.312438266558406,5.544059133400052
clean,outer_0,compact12_bag,Cond2,302,20.942007316146263,4.576243799902521,3.6330791952582526,8.734934962747266,4.565901467766578,4.623927729985459
clean,outer_0,compact12_bag,Cond3,99,34.536494312070154,5.87677584327241,4.697107320215183,11.503344447014506,5.765579882469258,5.974618797349822
clean,outer_0,compact12_rf,all,670,25.038897761601675,5.00388826430024,4.0061123738686755,9.884391703816384,4.995322401315938,5.039463508722704
clean,outer_0,compact12_rf,Cond1,269,27.847651892867276,5.277087444117946,4.303484195933487,10.184143934774625,5.24725522670491,5.3298493079364615
clean,outer_0,compact12_rf,Cond2,302,20.549994245011536,4.533210147898676,3.600099165555372,8.501074113227252,4.529904020975321,4.564674651872082
clean,outer_0,compact12_rf,Cond3,99,31.100453324225658,5.576778041506194,4.436647412001837,11.170852573711155,5.560041748126321,5.59926227284025
clean,outer_0,compact33_bag,all,670,29.89154955649274,5.467316485854165,4.2097131771415555,11.314166109529047,5.441031645692836,5.5055909566311305
clean,outer_0,compact33_bag,Cond1,269,17.96483828237602,4.238494813300592,3.2722279151317983,8.427259130099841,4.116598090099849,4.377244311120536
clean,outer_0,compact33_bag,Cond2,302,42.65922083484234,6.531402669782528,5.136778923791543,13.059724019607195,6.471179538217084,6.595613864139528
clean,outer_0,compact33_bag,Cond3,99,23.350626391602013,4.832248585451913,3.9290028740337624,9.308233798596623,4.818860930580834,4.8675631634003516
clean,outer_0,compact33_rf,all,670,27.995122372139043,5.291041709544449,4.069586700322075,11.071862162189895,5.256115529474278,5.361981452685525
clean,outer_0,compact33_rf,Cond1,269,17.377707828227035,4.168657796968592,3.226980650489631,8.119626743442883,4.046060396408324,4.3450464528398065
clean,outer_0,compact33_rf,Cond2,302,39.185018134207354,6.259793777290699,4.888361625887491,12.584399428183243,6.207984454550163,6.300613493518851
clean,outer_0,compact33_rf,Cond3,99,22.709627343529974,4.765461923416236,3.86141498198038,9.113365938399697,4.7230619510571605,4.861001306968947
clean,outer_0,condition_mean,all,670,59.609910303412,7.720745449981627,5.86697114926476,16.637414459064303,7.720745449981627,7.720745449981627
clean,outer_0,condition_mean,Cond1,269,31.486437263748975,5.611277685496323,4.3758976047251945,10.895786540642721,5.611277685496323,5.611277685496323
clean,outer_0,condition_mean,Cond2,302,96.88226244421853,9.842878768135801,7.8502662832578105,20.756211959064316,9.842878768135801,9.842878768135801
clean,outer_0,condition_mean,Cond3,99,22.32671738569261,4.7251155949556,3.8684221898227595,8.956664716981132,4.7251155949556,4.7251155949556
clean,outer_0,full125_bag,all,670,22.813985697264442,4.776398821001492,3.690745817393239,10.22638487347748,4.766047029762898,4.804638195061148
clean,outer_0,full125_bag,Cond1,269,15.354229518770111,3.918447335204355,2.967373802177913,7.952200592497447,3.9043150750684035,3.9496009246405737
clean,outer_0,full125_bag,Cond2,302,29.71880917599697,5.4514960493425075,4.296051240822692,11.242281362248885,5.406358184082518,5.5100762863979424
clean,outer_0,full125_bag,Cond3,99,22.020225307746774,4.692571289575341,3.809784546860189,9.160060589739976,4.639529087600401,4.740625824726188
clean,outer_0,full125_rf,all,670,22.50221747175067,4.743650226539755,3.6857539775528045,9.935933988236993,4.715207800803915,4.779108576634116
clean,outer_0,full125_rf,Cond1,269,16.28903797628865,4.035968034596985,3.0719750129371484,8.328871312648987,3.9197709060055193,4.145690112943834
clean,outer_0,full125_rf,Cond2,302,28.199077618161173,5.310280370956055,4.19503016015192,10.900630816459799,5.297530199834943,5.334878308523473
clean,outer_0,full125_rf,Cond3,99,22.006192421885114,4.691075827769693,3.7999472536808763,9.0444981440113,4.624878410317201,4.762464796269474
clean,outer_0,history_none,all,670,19.58677152593722,4.425694468209167,3.4647738763359497,8.988943322891437,4.401752765633283,4.450966461297591
clean,outer_0,history_none,Cond1,269,13.843588129819043,3.7206972639303837,2.8589989866095045,7.564213721081964,3.6981507892461813,3.751373924950739
clean,outer_0,history_none,Cond2,302,20.928035881981046,4.574717027530888,3.685760516420359,8.89585049783166,4.530538183311391,4.6097047150993316
clean,outer_0,history_none,Cond3,99,31.100453324225658,5.576778041506194,4.436647412001837,11.170852573711155,5.560041748126321,5.59926227284025
clean,outer_0,history_raw,all,670,22.376901008516853,4.730422920682342,3.6606783950560087,10.17290788283199,4.6913391002330425,4.797095035980987
clean,outer_0,history_raw,Cond1,269,15.239115729996843,3.903731001234184,2.95800298562589,7.8945232814335435,3.8690553911667105,3.9629463849282947
