cohort_variant,evaluation,model,condition,n,mse,rmse,mae,p95_abs_error,seed_rmse_min,seed_rmse_max
clean,temporal,phase_gap,Cond2,67,27.102318121422382,5.205988678572244,4.115984793896198,9.287003954325357,5.147271387436388,5.306210094163125
clean,temporal,phase_gap,Cond3,25,23.74102682272657,4.872476456867346,3.9265261732609646,10.117881746003802,4.7174548104777765,5.046560792102984
clean,temporal,phase_longest,all,166,91.26341817432322,9.55318890079764,7.14993662786846,17.85460923328989,9.527014505260446,9.585386500566667
clean,temporal,phase_longest,Cond1,74,8.383048742778946,2.895349502698931,2.2609777086839555,5.663589359034753,2.8458092551433625,2.9412547915882277
clean,temporal,phase_longest,Cond2,67,210.57942237094412,14.511354946073924,14.011683455862975,19.92445505732754,14.469946937471505,14.57465684582761
clean,temporal,phase_longest,Cond3,25,16.822420444750218,4.1015144086971365,3.231773529629277,8.367350222358919,4.022898567928266,4.186601765275856
clean,temporal,phase_raw,all,166,17.665177219475584,4.202996219303032,3.17268377655557,8.28205396917103,4.1976538969371,4.228271121548834
clean,temporal,phase_raw,Cond1,74,7.068086942290319,2.6585873960226167,2.063937451157506,5.1095832376096615,2.6240073623001234,2.7504357246797815
clean,temporal,phase_raw,Cond2,67,27.102318121422382,5.205988678572244,4.115984793896198,9.287003954325357,5.147271387436388,5.306210094163125
clean,temporal,phase_raw,Cond3,25,23.74102682272657,4.872476456867346,3.9265261732609646,10.117881746003802,4.7174548104777765,5.046560792102984
clean,temporal,phase_trimmed,all,166,89.62972467463376,9.467297643711946,7.082674461632468,17.750977157247593,9.332699264958533,9.548121659077932
clean,temporal,phase_trimmed,Cond1,74,8.95534665438545,2.992548521642623,2.3283958026536204,5.872101125272075,2.985529116773092,3.015417815782988
clean,temporal,phase_trimmed,Cond2,67,205.9861648094406,14.352218114613525,13.779101858166493,19.415578363832385,14.128184629865434,14.48068903003877
clean,temporal,phase_trimmed,Cond3,25,16.5906240532865,4.073158977168274,3.2089138694986694,8.330386835670952,4.002728255107086,4.124628749537805
clean,temporal,primary73_bag,all,166,13.514135263086887,3.6761576765812,2.7562289806928484,8.23122741861983,3.5595337216807397,3.8656965072577156
clean,temporal,primary73_bag,Cond1,74,6.696921938911377,2.5878411734322833,2.0075895664659,4.9941568677709105,2.5480321696915507,2.6838097318821417
clean,temporal,primary73_bag,Cond2,67,17.227590442161446,4.150613260972581,3.1464063961942115,8.720366402161202,3.9896590356716946,4.498977594289737
clean,temporal,primary73_bag,Cond3,25,23.74102682272657,4.872476456867346,3.9265261732609646,10.117881746003802,4.7174548104777765,5.046560792102984
clean,temporal,primary73_rf,all,166,12.792280412641333,3.5766297561589084,2.6750522963503514,7.763150808420406,3.4264152901741443,3.8267450828615353
clean,temporal,primary73_rf,Cond1,74,7.068086942290319,2.6585873960226167,2.063937451157506,5.1095832376096615,2.6240073623001234,2.7504357246797815
clean,temporal,primary73_rf,Cond2,67,15.002198835068755,3.873267204191928,2.8818455601176938,8.506436699480574,3.6700089429094573,4.328127228203717
clean,temporal,primary73_rf,Cond3,25,23.81331171277483,4.87988849388742,3.929746291224701,9.975698516790663,4.5577351862034625,5.136626764933039
clean,test,S1_features,all,424,11.500579387830795,3.3912504165618316,2.5181217262324216,6.8355452072873195,3.387358927289857,3.4214935177305925
clean,test,S1_features,Cond1,165,14.382054008156242,3.7923678629790443,2.73980838360061,7.642205526772803,3.778378852022579,3.8291319698771953
clean,test,S1_features,Cond2,186,9.305970415900571,3.0505688675885634,2.3048948462692107,6.421651609398289,3.0394763117617387,3.0721060218450758
clean,test,S1_features,Cond3,73,10.579400708725627,3.2525990697787557,2.5603395509914093,5.525758355588718,3.189546981671447,3.292064715950996
clean,test,S2_phase,all,424,11.425349498980308,3.3801404555107335,2.5079643120069726,6.8355452072873195,3.3741487996852184,3.4070044920548286
clean,test,S2_phase,Cond1,165,14.382054008156242,3.7923678629790443,2.73980838360061,7.642205526772803,3.778378852022579,3.8291319698771953
clean,test,S2_phase,Cond2,186,9.305970415900571,3.0505688675885634,2.3048948462692107,6.421651609398289,3.0394763117617387,3.0721060218450758
clean,test,S2_phase,Cond3,73,10.142449025539243,3.184721184898176,2.5013430628874302,5.351147502787779,3.1534199784109966,3.212304118640859
