track,split,model,repeat,stage,n,mse,rmse,mae,r2,relative_error,mape_percent,s_score_literal_mean,s_score_minus_one_mean
official,test,P2_Bagging,0,B,186,7.750560062314626,2.783982769758934,2.0518294826820096,0.8934908153410202,0.025175435942394197,2.5175435942394198,1.2136901561404885,0.21369015614048834
official,test,P2_Integrated,0,all,424,8.005821990249391,2.829456129762289,2.095700270519018,0.990838491651901,0.024650515023949528,2.4650515023949526,1.2222342121680512,0.22223421216805142
official,test,P2_Integrated,0,A,238,8.01301575274046,2.83072707139711,2.1110318768015115,0.9942506167693997,0.023977260059433195,2.3977260059433196,1.2243679086442718,0.22436790864427167
official,test,P2_Integrated,0,B,186,7.9966170683522195,2.8278290380346935,2.076082408716688,0.8901094685890453,0.025511991806502682,2.551199180650268,1.219503998397404,0.219503998397404
official,test,P2_KNN,0,all,424,16.49239315816468,4.061082756872197,3.0801901061320756,0.9811268352228314,0.037792893594330024,3.7792893594330024,1.3580043842861127,0.3580043842861129
official,test,P2_KNN,0,A,238,11.009702818687497,3.318087222887231,2.5178867016806716,0.99210047718451,0.03022165301581866,3.022165301581866,1.2766686512127132,0.27666865121271356
official,test,P2_KNN,0,B,186,23.507878646312903,4.848492409637546,3.7996966129032255,0.676951734126257,0.04748082508726392,4.748082508726393,1.4620791395090649,0.4620791395090648
official,test,P2_LR,0,all,424,512.774705894672,22.64452927076807,3.5214877989736006,0.41320332197372556,0.04289664838839832,4.289664838839832,1.796557358484221e+17,1.796557358484221e+17
official,test,P2_LR,0,A,238,905.287840304466,30.088001600379943,4.463179202004341,0.3504509552308388,0.05425217070033758,5.425217070033758,3.200589579820629e+17,3.200589579820629e+17
official,test,P2_LR,0,B,186,10.526716703645315,3.2444902070503026,2.316527831654696,0.8553405167849905,0.028366463924734117,2.8366463924734115,1.256611513554426,0.25661151355442596
official,test,P2_Persistent,0,all,424,15.90132945168043,3.987647107215034,3.0126251179245287,0.9818032223680626,0.03579559871733528,3.5795598717335277,1.3523410184940856,0.35234101849408533
official,test,P2_Persistent,0,A,238,14.212640666344543,3.7699656054590927,2.854578151260505,0.9898023515201899,0.032713351721912476,3.2713351721912476,1.3274559263205306,0.3274559263205308
official,test,P2_Persistent,0,B,186,18.062124779153226,4.249955856141711,3.2148572580645167,0.7517879781629809,0.03973954917384404,3.9739549173844044,1.3841832332107842,0.3841832332107844
official,test,P2_SVR,0,all,424,10.770076841268065,3.281779523561579,2.406246150323446,0.987675200746267,0.028531476281415967,2.853147628141597,1.2669196858391465,0.2669196858391464
official,test,P2_SVR,0,A,238,9.744567278735971,3.1216289463573297,2.3184544630842,0.9930082189489444,0.026435662797727372,2.6435662797727373,1.2530361682938365,0.25303616829383646
official,test,P2_SVR,0,B,186,12.082288001927413,3.4759585731028806,2.5185817501242016,0.8339636576513477,0.03121321611538309,3.121321611538309,1.2846846168917474,0.2846846168917474
official,validation,P2_Bagging,0,all,424,8.002078544215424,2.828794539059955,2.0685990321699412,0.9902736405097959,0.02548216373958379,2.548216373958379,1.22742433957248,0.22742433957248007
official,validation,P2_Bagging,0,A,252,7.747697862398285,2.7834686745854147,1.9873646003664724,0.9937880207211753,0.02371323105140849,2.371323105140849,1.2216203710808542,0.22162037108085414
official,validation,P2_Bagging,0,B,172,8.374775822226583,2.893920493418329,2.187616920626186,0.9071179363184915,0.028073855817608052,2.8073855817608053,1.2359278282927693,0.2359278282927692
