policy,condition,variant,feature,importance
completed,Cond1,joint_direct,p2_primary_SLURRY_FLOW_LINE_A_mean,0.23905016943289775
completed,Cond1,joint_direct,p2_primary_SLURRY_FLOW_LINE_A_std,0.2408259620461871
completed,Cond1,joint_direct,p2_primary_SLURRY_FLOW_LINE_B_auc,0.0
completed,Cond1,joint_direct,p2_primary_SLURRY_FLOW_LINE_B_mean,0.1642372374808527
completed,Cond1,joint_direct,p2_primary_SLURRY_FLOW_LINE_B_std,0.0
completed,Cond1,joint_direct,p2_primary_SLURRY_FLOW_LINE_C_auc,1.6804247271263217
completed,Cond1,joint_direct,p2_primary_SLURRY_FLOW_LINE_C_mean,0.20012336732311414
completed,Cond1,joint_direct,p2_primary_SLURRY_FLOW_LINE_C_std,0.33169989632500907
completed,Cond1,joint_direct,p2_primary_STAGE_ROTATION_mean,0.0
completed,Cond1,joint_direct,p2_primary_USAGE_OF_BACKING_FILM_decreasing,0.1400304555090898
completed,Cond1,joint_direct,p2_primary_USAGE_OF_BACKING_FILM_mean,3.2523774808724704
completed,Cond1,joint_direct,p2_primary_USAGE_OF_BACKING_FILM_std,0.017424646077530265
completed,Cond1,joint_direct,p2_primary_USAGE_OF_DRESSER_TABLE_decreasing,0.0
completed,Cond1,joint_direct,p2_primary_USAGE_OF_DRESSER_TABLE_mean,1.4421358421296462
completed,Cond1,joint_direct,p2_primary_USAGE_OF_DRESSER_TABLE_std,0.0
completed,Cond1,joint_direct,p2_primary_USAGE_OF_DRESSER_decreasing,0.017765067278599327
completed,Cond1,joint_direct,p2_primary_USAGE_OF_DRESSER_mean,1.1310064139109621
completed,Cond1,joint_direct,p2_primary_USAGE_OF_DRESSER_std,0.0
completed,Cond1,joint_direct,p2_primary_USAGE_OF_MEMBRANE_decreasing,0.03175663023534044
completed,Cond1,joint_direct,p2_primary_USAGE_OF_MEMBRANE_mean,0.0
completed,Cond1,joint_direct,p2_primary_USAGE_OF_MEMBRANE_std,0.0
completed,Cond1,joint_direct,p2_primary_USAGE_OF_POLISHING_TABLE_decreasing,0.11505372929861608
completed,Cond1,joint_direct,p2_primary_USAGE_OF_POLISHING_TABLE_mean,0.0886232806202748
completed,Cond1,joint_direct,p2_primary_USAGE_OF_POLISHING_TABLE_std,0.009917750799334357
completed,Cond1,joint_direct,p2_primary_USAGE_OF_PRESSURIZED_SHEET_decreasing,0.0
completed,Cond1,joint_direct,p2_primary_USAGE_OF_PRESSURIZED_SHEET_mean,0.0
completed,Cond1,joint_direct,p2_primary_USAGE_OF_PRESSURIZED_SHEET_std,0.0
completed,Cond1,joint_direct,p2_primary_WAFER_ROTATION_mean,0.0
completed,Cond1,joint_direct,p2_primary_duration,0.28354811342804487
completed,Cond1,joint_direct,p2_secondary_CENTER_AIR_BAG_PRESSURE_auc,0.0
completed,Cond1,joint_direct,p2_secondary_CENTER_AIR_BAG_PRESSURE_mean,0.0
completed,Cond1,joint_direct,p2_secondary_CENTER_AIR_BAG_PRESSURE_std,0.041520853008583505
completed,Cond1,joint_direct,p2_secondary_DRESSING_WATER_STATUS_auc,0.0
completed,Cond1,joint_direct,p2_secondary_DRESSING_WATER_STATUS_mean,0.0
completed,Cond1,joint_direct,p2_secondary_DRESSING_WATER_STATUS_std,0.0
completed,Cond1,joint_direct,p2_secondary_EDGE_AIR_BAG_PRESSURE_auc,0.0
completed,Cond1,joint_direct,p2_secondary_EDGE_AIR_BAG_PRESSURE_mean,0.11011456143021581
completed,Cond1,joint_direct,p2_secondary_EDGE_AIR_BAG_PRESSURE_std,0.0
completed,Cond1,joint_direct,p2_secondary_HEAD_ROTATION_mean,0.0
completed,Cond1,joint_direct,p2_secondary_MAIN_OUTER_AIR_BAG_PRESSURE_auc,0.0
completed,Cond1,joint_direct,p2_secondary_MAIN_OUTER_AIR_BAG_PRESSURE_mean,0.0
completed,Cond1,joint_direct,p2_secondary_MAIN_OUTER_AIR_BAG_PRESSURE_std,0.0
completed,Cond1,joint_direct,p2_secondary_PRESSURIZED_CHAMBER_PRESSURE_auc,0.0
completed,Cond1,joint_direct,p2_secondary_PRESSURIZED_CHAMBER_PRESSURE_mean,0.0
completed,Cond1,joint_direct,p2_secondary_PRESSURIZED_CHAMBER_PRESSURE_std,0.0
completed,Cond1,joint_direct,p2_secondary_RETAINER_RING_PRESSURE_auc,0.0
completed,Cond1,joint_direct,p2_secondary_RETAINER_RING_PRESSURE_mean,0.0
completed,Cond1,joint_direct,p2_secondary_RETAINER_RING_PRESSURE_std,0.0
completed,Cond1,joint_direct,p2_secondary_RIPPLE_AIR_BAG_PRESSURE_auc,0.0
completed,Cond1,joint_direct,p2_secondary_RIPPLE_AIR_BAG_PRESSURE_mean,0.0
completed,Cond1,joint_direct,p2_secondary_RIPPLE_AIR_BAG_PRESSURE_std,0.0
completed,Cond1,joint_direct,p2_secondary_SLURRY_FLOW_LINE_A_auc,0.0
completed,Cond1,joint_direct,p2_secondary_SLURRY_FLOW_LINE_A_mean,0.0
completed,Cond1,joint_direct,p2_secondary_SLURRY_FLOW_LINE_A_std,0.5572267526762492
