sample_id,partition,policy,model,clipped
9d1a75c7f26925bb424b,validation,completed,selected,False
a59c268c4629b8813a10,validation,completed,selected,False
76ed0002cfd72ba3c54c,validation,completed,selected,False
7825792d6c2528de0cc3,validation,completed,selected,False
a6aee8777d1c409767c9,validation,completed,selected,False
9d188a1ef3c30df74559,validation,completed,selected,False
12e2c305863d1d5336fe,validation,completed,selected,False
096a35eef06bf383d4ed,validation,completed,selected,False
552722de245bd5ef7f11,validation,completed,selected,False
421a1014c185529c23d8,validation,completed,selected,False
0143a59f6bdef521d30c,validation,completed,selected,False
938a51a6e19bd8517c3e,validation,completed,selected,False
7d2356c2e4eb227d2dd2,validation,completed,selected,False
8f4e09fa8afeef1c699b,validation,completed,selected,False
ab7fdb3487efe1742f28,validation,completed,selected,False
4137d1cd0a597693179e,validation,completed,selected,False
77fa0001c60e2f817dbc,validation,completed,selected,False
74c6c4867375a7d7d95d,validation,completed,selected,False
f84cc78bad40dbc29a2d,validation,completed,selected,False
60f37ebcf1c132248055,validation,completed,selected,False
9aa3363ff8730934478d,validation,completed,selected,False
5805adc9b48cb8b4f9d2,validation,completed,selected,False
3c96d5dd0acebc7b4e32,validation,completed,selected,False
f4350c0188da76f0ecb0,validation,completed,selected,False
2965f4b2d9dda1e0bb4c,validation,completed,selected,False
3f86a487f1fd234635f6,validation,completed,selected,False
013232deae171214ceb3,validation,completed,selected,False
9e66429099fc2f2d7817,validation,completed,selected,False
85c68db0ef141625790f,validation,completed,selected,False
6f0932cc6675f3ee2542,validation,completed,selected,False
b3b39d6ab2f8abea410e,validation,completed,selected,False
9a2445259d7561db1c6b,validation,completed,selected,False
b11cdf408556b6dc8e16,validation,completed,selected,False
691357333f4b04269b52,validation,completed,selected,False
ead35c59de19870f2126,validation,completed,selected,False
2f6a7a181de5cfaa8cde,validation,completed,selected,False
d9e38067125060fb5fbb,validation,completed,selected,False
102b404843f3ca85d755,validation,completed,selected,False
4bf13660bcc264021545,validation,completed,selected,False
371865969277bcb488f9,validation,completed,selected,False
c01c074868e062be80cf,validation,completed,selected,False
71da84cd5e28dcf927b7,validation,completed,selected,False
99ac0ef170cab61c4235,validation,completed,selected,False
662cd213b2cc0a6b8a23,validation,completed,selected,False
88fbb6fe7f7156acd3d1,validation,completed,selected,False
897bee1bf99f151a6176,validation,completed,selected,False
db65febf89adc26f3276,validation,completed,selected,False
46dce212d8c575b7596f,validation,completed,selected,False
488916a7c7d3b9ea7c0d,validation,completed,selected,False
7005c86d0920a13f4cd0,validation,completed,selected,False
203bb84e13443f7254b6,validation,completed,selected,False
802b230d0aa13ef09b01,test,completed,history_anchor,False
78293129114a408f1e80,test,completed,history_anchor,False
8cbfa251ad6482b9468a,test,completed,history_anchor,False
764753670487fc80d24c,test,completed,history_anchor,False
fb0eae697a9519d0905e,test,completed,history_anchor,False
578662795c0c299ba758,test,completed,history_anchor,False
f60abb8f931c66b5bf55,test,completed,history_anchor,False
240582ac933b31585eaa,test,completed,history_anchor,False
bbb5ef61589c83445e6d,test,completed,history_anchor,False
98cba2b96f73f2b35fd6,test,completed,history_anchor,False
fcd498cc64e4e283fd14,test,completed,history_anchor,False
43f41ee9574e59f97f85,test,completed,history_anchor,False
3412955d6c5ac4440b55,test,completed,history_anchor,False
43b8588baa3f12c6ca6b,test,completed,history_anchor,False
effbef4e397b3bf03d9b,test,completed,history_anchor,False
4a8255e9c03d9064da6e,test,completed,history_anchor,False
604297c540f93a7ea7a1,test,completed,history_anchor,False
4c93d5d8a6926d298bc4,test,completed,history_anchor,False
6e87305a98324b192f85,test,completed,history_anchor,False
1b71d0d68b678324b5ec,test,completed,history_anchor,False
72f27f0639e543a56a3e,test,completed,history_anchor,False
ca786fef1ace9de4a2dc,test,completed,history_anchor,False
070a26f87b8bb0196d5a,test,completed,history_anchor,False
926a1c06ffe4fe95a1d6,test,completed,history_anchor,False
4c4101c930efb6d446eb,test,completed,history_anchor,False
95a66aac498374b464f2,test,completed,history_anchor,False
76878d721fb53e76d9fc,test,completed,history_anchor,False
193ca7033f67b8f177e8,test,completed,history_anchor,False
f0fb91da579f6f1f49ec,test,completed,history_anchor,False
404093efb1e18525aae2,test,completed,history_anchor,False
767913bddf4c33a0a5f6,test,completed,history_anchor,False
1d46a590ac050bf38b25,test,completed,history_anchor,False
1b3066545c255d2e7616,test,completed,history_anchor,False
1cb5a5cbb8d20b9f85cd,test,completed,history_anchor,False
f6323ed237c5935fcaad,test,completed,history_anchor,False
ef41dca19f87cb9db634,test,completed,history_anchor,False
ea815ab5a7798dc8b3d0,test,completed,history_anchor,False
a7a50e39d82263ff1fda,test,completed,history_anchor,False
85d6e790a5c68d082c31,test,completed,history_anchor,False
d5781eb69b823c502bd1,test,completed,history_anchor,False
1c07593c740f2420a217,test,completed,history_anchor,False
c963be8f10cffffbc7e5,test,completed,history_anchor,False
278eef490e1b8b5a998e,test,completed,history_anchor,False
ac8990d5cceaedd7d901,test,completed,history_anchor,False
3ffaf599b5242d939e38,test,completed,history_anchor,False
1fa79b59f22cb39b8f6d,test,completed,history_anchor,False
b4d7bb3408e2d7f8842d,test,completed,history_anchor,False
131d05f9047d306b06a7,test,completed,history_anchor,False
9a4eb8d586f294700a91,test,completed,history_anchor,False
2922b1fbfa9542718f5f,test,completed,history_anchor,False
72bfbb8b9ab0048db081,test,completed,history_anchor,False
c2d51a431c1ca85e4120,test,completed,history_anchor,False
d8b3bf030cac52b6df0e,test,completed,history_anchor,False
9568569c28b202e4863d,test,completed,history_anchor,False
6085727d6ece27d56f3c,test,completed,history_anchor,False
2aab1e24996b676e4523,test,completed,history_anchor,False
0ba8d7ab2acbc60af0a2,test,completed,history_anchor,False
b253dcf3858f5936bc95,test,completed,history_anchor,False
602fe24f74039ecae663,test,completed,history_anchor,False
aeeb3f1c51988fdbb2ec,test,completed,history_anchor,False
ddde3d9cd9c153bd5bd1,test,completed,history_anchor,False
33f71953596408ca76b3,test,completed,history_anchor,False
41543b17d99489751f7a,test,completed,history_anchor,False
638bccbe4b722eb77d11,test,completed,history_anchor,False
8bc32a935d3dbc6a6377,test,completed,history_anchor,False
7359fe9944f2bb68e4ec,test,completed,history_anchor,False
bebfdab8413eaca10cec,test,completed,history_anchor,False
d9155dbc1410d9e916b4,test,completed,history_anchor,False
4a1f7fe13bf5c4089572,test,completed,history_anchor,False
faf1c95c3394f52f4626,test,completed,history_anchor,False
6d5333367928c4ad8e1c,test,completed,history_anchor,False
331d9793d708a7aa3637,test,completed,history_anchor,False
1b82765c0c2ed1d695a8,test,completed,history_anchor,False
e94b6136fa0a7879880f,test,completed,history_anchor,False
56fb7c2ebb23d1798c31,test,completed,history_anchor,False
ee3b64d5846649b4bab5,test,completed,history_anchor,False
a812097fd0b6f8d285dd,test,completed,history_anchor,False
5a758f5312120ce6feb9,test,completed,history_anchor,False
23c53ba93b2dcd87fb6c,test,completed,history_anchor,False
e551d8fe477b80d53719,test,completed,history_anchor,False
03e7f5b08e74bd956037,test,completed,history_anchor,False
0e0f50334904de2afe94,test,completed,history_anchor,False
202f0bfb0a59ec398820,test,completed,history_anchor,False
4ace9ed20a16bf707cc6,test,completed,history_anchor,False
f3deb55831105a6e4285,test,completed,history_anchor,False
4f35a32ecc87443a91a9,test,completed,history_anchor,False
5469b6eaedf49a9881c3,test,completed,history_anchor,False
a8bca106fc812f8a95bd,test,completed,history_anchor,False
21e0c5e038553c7ac0ec,test,completed,history_anchor,False
1d730bbf35d21619651d,test,completed,history_anchor,False
071b3b8cd6ab5748b4eb,test,completed,history_anchor,False
8ff2efab701216506995,test,completed,history_anchor,False
293e647e9db79c39ddfd,test,completed,history_anchor,False
6a187377a43f61eff20c,test,completed,history_anchor,False
03263d39b530bbeb06c0,test,completed,history_anchor,False
8685ea7325010b442187,test,completed,history_anchor,False
e6b5f5fec3bc532fbff4,test,completed,history_anchor,False
c07f11a672e3a61d7fed,test,completed,history_anchor,False
87b224a0bf40bdfc3143,test,completed,history_anchor,False
a1b9f05c3ed75594b6ed,test,completed,history_anchor,False
1231dfd2ab95c560959d,test,completed,history_anchor,False
1d12a3644ee42fa22bf5,test,completed,history_anchor,False
854c6656bdbe1ea5f307,test,completed,history_anchor,False
fc9e64a691df4ee30646,test,completed,history_anchor,False
0d2395e2fd89ad36cc56,test,completed,history_anchor,False
95bdfe79a0a74518e760,test,completed,history_anchor,False
f34c11dc4ac05d740639,test,completed,history_anchor,False
9b835bb633719d0ca1d2,test,completed,history_anchor,False
4b8e0e083de2f306c108,test,completed,history_anchor,False
9c8542ee17a36e4ca58c,test,completed,history_anchor,False
91003ef42cf4738a805e,test,completed,history_anchor,False
dbc47b7b914266a55982,test,completed,history_anchor,False
668cdc478652f2279828,test,completed,history_anchor,False
515dc65b92ddc1fcd0a3,test,completed,history_anchor,False
1becc7108ca0a195d64a,test,completed,history_anchor,False
4f91f011d6c4a66581bf,test,completed,history_anchor,False
eb04f2491a820b6eab04,test,completed,history_anchor,False
e867a38822028db043d7,test,completed,history_anchor,False
ff4cd957e7cfe9b95f0f,test,completed,history_anchor,False
59135297414a96cafb48,test,completed,history_anchor,False
3832178b31f1168ceece,test,completed,history_anchor,False
25f5d1c7a657e344ea5c,test,completed,history_anchor,False
ab462574efe9698ce296,test,completed,history_anchor,False
4fa524229fac21e09291,test,completed,history_anchor,False
e97e6d5130a8ce3c1639,test,completed,history_anchor,False
13c9f3d1cb604dd1c804,test,completed,history_anchor,False
4008051e5c0764f8b2d2,test,completed,history_anchor,False
d078c91b9bd85826bc47,test,completed,history_anchor,False
4fd3f97f9b8d33185700,test,completed,history_anchor,False
10af1fbcd3118cae9b70,test,completed,history_anchor,False
39d340ed617a4771255f,test,completed,history_anchor,False
b721ed3f409740b15845,test,completed,history_anchor,False
2d55d45f9a0383a8f06a,test,completed,history_anchor,False
3d73609d01eeeb300789,test,completed,history_anchor,False
1418b8e6a21e1498ee15,test,completed,history_anchor,False
18f2e9090491c66ffc3d,test,completed,history_anchor,False
b8a460a3ed3364ac5d36,test,completed,history_anchor,False
5e9ebb235101bb733c2c,test,completed,history_anchor,False
c20ad86a5f2d24f8791a,test,completed,history_anchor,False
92395baceacea8151558,test,completed,history_anchor,False
799ae9f853bad8571fa4,test,completed,history_anchor,False
d9e64853647ef6faa58a,test,completed,history_anchor,False
67ca09e28c7a05334d90,test,completed,history_anchor,False
4f1e61c084da79b28a0b,test,completed,history_anchor,False
c2f26a8e6540db9ed7fd,test,completed,history_anchor,False
ef0a3f797b223ac09cbf,test,completed,history_anchor,False
97eb897b6cd7fdeee456,test,completed,history_anchor,False
195c407213762ac26ccd,test,completed,history_anchor,False
7a90843126f11cae9f2b,test,completed,history_anchor,False
f6fd3671c36f66b51a43,test,completed,history_anchor,False
b6891c7c9f4109835040,test,completed,history_anchor,False
45b3d1cbdf6c36ae9568,test,completed,history_anchor,False
7886b957e4c074b8f983,test,completed,history_anchor,False
59c61c0f20772c2c27ac,test,completed,history_anchor,False
c3c783cf0326aa95c952,test,completed,history_anchor,False
2351884670ffe452a34c,test,completed,history_anchor,False
4f521b5a6a05437b2869,test,completed,history_anchor,False
4474b2f519f8133dc4f4,test,completed,history_anchor,False
49baf58c32e6bf77ffe7,test,completed,history_anchor,False
ce599ad43fb842cfdd60,test,completed,history_anchor,False
7d28fc108c3d1fcb0fdc,test,completed,history_anchor,False
81927a30bb0c1a6ee01a,test,completed,history_anchor,False
b702026c6754db968c8d,test,completed,history_anchor,False
64b87b6ec1703d21a020,test,completed,history_anchor,False
c7164626a9416c999b38,test,completed,history_anchor,False
802b230d0aa13ef09b01,test,completed,base_direct,False
78293129114a408f1e80,test,completed,base_direct,False
8cbfa251ad6482b9468a,test,completed,base_direct,False
764753670487fc80d24c,test,completed,base_direct,False
fb0eae697a9519d0905e,test,completed,base_direct,False
578662795c0c299ba758,test,completed,base_direct,False
f60abb8f931c66b5bf55,test,completed,base_direct,False
240582ac933b31585eaa,test,completed,base_direct,False
bbb5ef61589c83445e6d,test,completed,base_direct,False
98cba2b96f73f2b35fd6,test,completed,base_direct,False
fcd498cc64e4e283fd14,test,completed,base_direct,False
43f41ee9574e59f97f85,test,completed,base_direct,False
3412955d6c5ac4440b55,test,completed,base_direct,False
43b8588baa3f12c6ca6b,test,completed,base_direct,False
effbef4e397b3bf03d9b,test,completed,base_direct,False
4a8255e9c03d9064da6e,test,completed,base_direct,False
604297c540f93a7ea7a1,test,completed,base_direct,False
4c93d5d8a6926d298bc4,test,completed,base_direct,False
6e87305a98324b192f85,test,completed,base_direct,False
1b71d0d68b678324b5ec,test,completed,base_direct,False
72f27f0639e543a56a3e,test,completed,base_direct,False
ca786fef1ace9de4a2dc,test,completed,base_direct,False
070a26f87b8bb0196d5a,test,completed,base_direct,False
926a1c06ffe4fe95a1d6,test,completed,base_direct,False
4c4101c930efb6d446eb,test,completed,base_direct,False
95a66aac498374b464f2,test,completed,base_direct,False
76878d721fb53e76d9fc,test,completed,base_direct,False
193ca7033f67b8f177e8,test,completed,base_direct,False
f0fb91da579f6f1f49ec,test,completed,base_direct,False
404093efb1e18525aae2,test,completed,base_direct,False
767913bddf4c33a0a5f6,test,completed,base_direct,False
1d46a590ac050bf38b25,test,completed,base_direct,False
1b3066545c255d2e7616,test,completed,base_direct,False
1cb5a5cbb8d20b9f85cd,test,completed,base_direct,False
f6323ed237c5935fcaad,test,completed,base_direct,False
ef41dca19f87cb9db634,test,completed,base_direct,False
ea815ab5a7798dc8b3d0,test,completed,base_direct,False
a7a50e39d82263ff1fda,test,completed,base_direct,False
85d6e790a5c68d082c31,test,completed,base_direct,False
d5781eb69b823c502bd1,test,completed,base_direct,False
1c07593c740f2420a217,test,completed,base_direct,False
c963be8f10cffffbc7e5,test,completed,base_direct,False
278eef490e1b8b5a998e,test,completed,base_direct,False
ac8990d5cceaedd7d901,test,completed,base_direct,False
3ffaf599b5242d939e38,test,completed,base_direct,False
1fa79b59f22cb39b8f6d,test,completed,base_direct,False
b4d7bb3408e2d7f8842d,test,completed,base_direct,False
131d05f9047d306b06a7,test,completed,base_direct,False
9a4eb8d586f294700a91,test,completed,base_direct,False
2922b1fbfa9542718f5f,test,completed,base_direct,False
72bfbb8b9ab0048db081,test,completed,base_direct,False
c2d51a431c1ca85e4120,test,completed,base_direct,False
d8b3bf030cac52b6df0e,test,completed,base_direct,False
9568569c28b202e4863d,test,completed,base_direct,False
6085727d6ece27d56f3c,test,completed,base_direct,False
2aab1e24996b676e4523,test,completed,base_direct,False
0ba8d7ab2acbc60af0a2,test,completed,base_direct,False
b253dcf3858f5936bc95,test,completed,base_direct,False
602fe24f74039ecae663,test,completed,base_direct,False
aeeb3f1c51988fdbb2ec,test,completed,base_direct,False
ddde3d9cd9c153bd5bd1,test,completed,base_direct,False
33f71953596408ca76b3,test,completed,base_direct,False
41543b17d99489751f7a,test,completed,base_direct,False
638bccbe4b722eb77d11,test,completed,base_direct,False
8bc32a935d3dbc6a6377,test,completed,base_direct,False
7359fe9944f2bb68e4ec,test,completed,base_direct,False
bebfdab8413eaca10cec,test,completed,base_direct,False
d9155dbc1410d9e916b4,test,completed,base_direct,False
4a1f7fe13bf5c4089572,test,completed,base_direct,False
faf1c95c3394f52f4626,test,completed,base_direct,False
6d5333367928c4ad8e1c,test,completed,base_direct,False
331d9793d708a7aa3637,test,completed,base_direct,False
1b82765c0c2ed1d695a8,test,completed,base_direct,False
e94b6136fa0a7879880f,test,completed,base_direct,False
56fb7c2ebb23d1798c31,test,completed,base_direct,False
ee3b64d5846649b4bab5,test,completed,base_direct,False
a812097fd0b6f8d285dd,test,completed,base_direct,False
5a758f5312120ce6feb9,test,completed,base_direct,False
23c53ba93b2dcd87fb6c,test,completed,base_direct,False
