evaluation,policy,model,dimension,value,n,mse,rmse,mae,r2,relative_error,mape_percent,s_score_literal_mean,s_score_minus_one_mean,s_score_overflow
nested_oof,completed,robust_reference,all,all,1977,21.769422961718107,4.665771421932081,3.659142450560485,0.9758799678049797,0.04538940541519945,4.5389405415199455,1.4398506200410366,0.43985062004103637,False
nested_oof,completed,robust_reference,STAGE,A,1162,18.326997194073925,4.281004227289892,3.2829218478755955,0.9864172054546323,0.03971175834581717,3.971175834581717,1.3842034745083667,0.38420347450836667,False
nested_oof,completed,robust_reference,STAGE,B,815,26.67751957767214,5.165028516636877,4.195545322118574,0.6809947117604489,0.05348440651289542,5.3484406512895415,1.5191904766164501,0.5191904766164501,False
nested_oof,completed,robust_reference,condition,Cond1,798,21.018502710423952,4.5845940616835374,3.5583574036047088,0.5246845190425538,0.04977180114703227,4.977180114703227,1.4273917892798225,0.42739178927982224,False
nested_oof,completed,robust_reference,condition,Cond2,815,26.67751957767214,5.165028516636877,4.195545322118574,0.6809947117604489,0.05348440651289542,5.3484406512895415,1.5191904766164501,0.5191904766164501,False
nested_oof,completed,robust_reference,condition,Cond3,364,12.426388946691183,3.525108359567289,2.6790823603156158,0.18067520815830984,0.017657049127768682,1.7657049127768683,1.2895213998170987,0.2895213998170986,False
nested_oof,completed,selected,all,all,1977,24.463366915229887,4.94604558361828,3.801692908362692,0.9728951383492541,0.04699538009582751,4.699538009582751,1.4888639280157292,0.4888639280157294,False
nested_oof,completed,selected,STAGE,A,1162,16.787123945512352,4.097209287492201,3.180032774644721,0.9875584607153622,0.03809322892215334,3.809322892215334,1.370424574887703,0.370424574887703,False
nested_oof,completed,selected,STAGE,B,815,35.40789983647135,5.950453750469064,4.688035332142178,0.5765982942902851,0.0596877723213605,5.96877723213605,1.6577308339479586,0.6577308339479586,False
nested_oof,completed,selected,condition,Cond1,798,18.18812662556073,4.264753993557041,3.3477600355798356,0.588691055978223,0.047018598968947035,4.701859896894703,1.3981627594223107,0.3981627594223106,False
nested_oof,completed,selected,condition,Cond2,815,35.40789983647135,5.950453750469064,4.688035332142178,0.5765982942902851,0.0596877723213605,5.96877723213605,1.6577308339479586,0.6577308339479586,False
nested_oof,completed,selected,condition,Cond3,364,13.715694993098593,3.703470668588938,2.812323010286969,0.09566576473715704,0.018526071511874857,1.8526071511874858,1.3096139395618323,0.3096139395618322,False
temporal,completed,base_direct,all,all,166,13.279710478334719,3.644133707527033,2.8359513476135794,0.980228000656079,0.03064005855390553,3.064005855390553,1.3061629540498296,0.30616295404982985,False
temporal,completed,base_direct,STAGE,A,99,10.792155000450322,3.285141549530297,2.41412436777957,0.9901463948846237,0.02509405856610823,2.509405856610823,1.2809598306059706,0.28095983060597085,False
temporal,completed,base_direct,STAGE,B,67,16.955352154611663,4.117687719413854,3.459247929756369,-0.1964995774720153,0.038834894356770205,3.8834894356770207,1.3434033901832934,0.34340339018329324,False
temporal,completed,base_direct,condition,Cond1,74,5.759206788515184,2.3998347419176977,1.890394255840155,0.22203832200893348,0.02462845384077186,2.462845384077186,1.186500626933518,0.18650062693351838,False
temporal,completed,base_direct,condition,Cond2,67,16.955352154611663,4.117687719413854,3.459247929756369,-0.1964995774720153,0.038834894356770205,3.8834894356770207,1.3434033901832934,0.34340339018329324,False
temporal,completed,base_direct,condition,Cond3,25,25.689681707778323,5.0684989600253765,3.964365499120238,-1.3275192148061992,0.026472248553103886,2.6472248553103888,1.56055907347643,0.5605590734764302,False
temporal,completed,base_residual,all,all,166,14.673438242637186,3.830592414057803,2.934512436191766,0.9781528963466627,0.03133680544340969,3.133680544340969,1.3533019938746838,0.353301993874684,False
temporal,completed,base_residual,STAGE,A,99,15.65765430136128,3.95697539812434,2.9343601368924555,0.9857040282953451,0.029995562163033666,2.9995562163033664,1.3860640685254606,0.38606406852546077,False
temporal,completed,base_residual,STAGE,B,67,13.219148842432931,3.6358147425897447,2.934737475454925,0.06715555888889535,0.03331864252933847,3.331864252933847,1.3048923611817451,0.3048923611817449,False
temporal,completed,base_residual,condition,Cond1,74,6.830916434427549,2.6136021951374984,2.1275888278887995,0.07727028969659666,0.028133926887142013,2.813392688714201,1.2365461699044409,0.23654616990444113,False
temporal,completed,base_residual,condition,Cond2,67,13.219148842432931,3.6358147425897447,2.934737475454925,0.06715555888889535,0.03331864252933847,3.331864252933847,1.3048923611817451,0.3048923611817449,False
temporal,completed,base_residual,condition,Cond3,25,41.78479838748512,6.464116210858613,5.322403211543278,-2.7857581203206516,0.03550600257967297,3.550600257967297,1.8286370484436787,0.8286370484436785,False
temporal,completed,group_selected_v3,all,all,166,14.3295787867202,3.7854430106290335,2.9985895544201466,0.9786648645065019,0.03259032327177459,3.2590323271774593,1.3275966926650882,0.3275966926650883,False
temporal,completed,group_selected_v3,STAGE,A,99,11.067830764918527,3.3268349470508043,2.5185421153323255,0.9898946935216582,0.026484432259103394,2.648443225910339,1.3002864701840475,0.3002864701840475,False
temporal,completed,group_selected_v3,STAGE,B,67,19.14917660997939,4.375977217717134,3.70791338232603,-0.35131264239448656,0.041612460738258895,4.16124607382589,1.3679506034952826,0.36795060349528286,False
temporal,completed,group_selected_v3,condition,Cond1,74,6.520317663822127,2.553491269580166,2.0114790336340342,0.11922640442475929,0.02636795033535836,2.636795033535836,1.2132047705288416,0.21320477052884143,False
temporal,completed,group_selected_v3,condition,Cond2,67,19.14917660997939,4.375977217717134,3.70791338232603,-0.35131264239448656,0.041612460738258895,4.16124607382589,1.3679506034952826,0.36795060349528286,False
temporal,completed,group_selected_v3,condition,Cond3,25,24.52846954416387,4.952622491586036,4.019448837159267,-1.2223118535775472,0.02682921875338868,2.682921875338868,1.5580483011634578,0.5580483011634576,False
temporal,completed,history_anchor,all,all,166,24.43793398693509,4.943473878451781,4.07601343373494,0.9636146574471811,0.0448109456678609,4.481094566786091,1.473180286992057,0.47318028699205694,False
temporal,completed,history_anchor,STAGE,A,99,19.517769168373864,4.4178919371544,3.529875757575758,0.9821796119393951,0.03821127705281175,3.821127705281175,1.451685272390736,0.4516852723907359,False
temporal,completed,history_anchor,STAGE,B,67,31.708028271077794,5.630988214432507,4.882992985074626,-1.237561454510776,0.05456269481547085,5.456269481547086,1.5049415772238592,0.5049415772238595,False
temporal,completed,history_anchor,condition,Cond1,74,13.803447559849669,3.7152991211811828,3.01188668918919,-0.864588930395207,0.039725860377925984,3.9725860377925986,1.3530536725685538,0.35305367256855374,False
temporal,completed,history_anchor,condition,Cond2,67,31.708028271077794,5.630988214432507,4.882992985074626,-1.237561454510776,0.05456269481547085,5.456269481547086,1.5049415772238592,0.5049415772238595,False
temporal,completed,history_anchor,condition,Cond3,25,36.43216112960549,6.035905990785931,5.0631234,-2.300802089750983,0.03372811041047361,3.372811041047361,1.743634807864395,0.7436348078643954,False
temporal,completed,joint_direct,all,all,166,10.215070544565483,3.196102398948676,2.407091199832587,0.9847909057629859,0.026888266776951025,2.6888266776951024,1.2621592936219532,0.26215929362195334,False
temporal,completed,joint_direct,STAGE,A,99,8.638540215295555,2.939139366429492,2.140766656758815,0.9921127185394142,0.023761051465968085,2.3761051465968084,1.2461898203195445,0.24618982031954448,False
temporal,completed,joint_direct,STAGE,B,67,12.54457058333746,3.5418315294967746,2.8006155246729367,0.11475897016690928,0.031509077460343725,3.1509077460343726,1.285755978053871,0.28575597805387093,False
temporal,completed,joint_direct,condition,Cond1,74,6.930235183198873,2.632533985193519,1.9547589811200914,0.06385417471975752,0.02572856195184559,2.572856195184559,1.2168796453440103,0.2168796453440101,False
temporal,completed,joint_direct,condition,Cond2,67,12.54457058333746,3.5418315294967746,2.8006155246729367,0.11475897016690928,0.031509077460343725,3.1509077460343726,1.285755978053871,0.28575597805387093,False
temporal,completed,joint_direct,condition,Cond3,25,13.69512311030173,3.7006922474452977,2.6913493766494367,-0.2407963068967256,0.017937220427770687,1.7937220427770688,1.332947938247126,0.33294793824712615,False
temporal,completed,joint_residual,all,all,166,18.544920357005978,4.306381352946575,3.278437464247707,0.9723886937347017,0.036198507460589245,3.6198507460589244,1.435465426624204,0.43546542662420384,False
temporal,completed,joint_residual,STAGE,A,99,23.645595026545834,4.862673650014551,3.7902517282810684,0.9784107663298047,0.04099532671313025,4.099532671313025,1.526769396244646,0.5267693962446462,False
temporal,completed,joint_residual,STAGE,B,67,11.00810256171574,3.3178460726374484,2.522174596496919,0.22318392777946072,0.02911067005758089,2.911067005758089,1.3005535909163861,0.30055359091638617,False
temporal,completed,joint_residual,condition,Cond1,74,16.164119626217868,4.020462613458539,3.1849134960373062,-1.1834718025297435,0.04226930960309592,4.226930960309592,1.4047794022567444,0.4047794022567446,False
temporal,completed,joint_residual,condition,Cond2,67,11.00810256171574,3.3178460726374484,2.522174596496919,0.22318392777946072,0.02911067005758089,2.911067005758089,1.3005535909163861,0.30055359091638617,False
temporal,completed,joint_residual,condition,Cond3,25,45.79076221151662,6.766887187733857,5.582052895722605,-3.148703752746636,0.037224337358831856,3.7224337358831856,1.887859778448835,0.887859778448835,False
temporal,completed,previous_control,all,all,166,12.420051911737461,3.5242094023677795,2.6767759850335375,0.981507935835576,0.029193812704664583,2.919381270466458,1.2980474939541662,0.29804749395416613,False
temporal,completed,previous_control,STAGE,A,99,10.656243991934202,3.2643902940571006,2.48667618858454,0.9902704862647692,0.026491344096545813,2.6491344096545815,1.2945372803164379,0.2945372803164378,False
temporal,completed,previous_control,STAGE,B,67,15.026275554431832,3.8763740214834574,2.957669714114892,-0.06036914998345777,0.033187012588302756,3.3187012588302753,1.3032342275382722,0.3032342275382723,False
temporal,completed,previous_control,condition,Cond1,74,6.716398392996609,2.59160151122749,2.0528767191336548,0.092739546304907,0.026937124954485143,2.6937124954485143,1.2187844589965213,0.21878445899652132,False
