condition,feature_1,feature_2,correlation,coefficient_1,coefficient_2
Cond2,p2_secondary_USAGE_OF_MEMBRANE_mean,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_mean,0.9999999999999862,227.82462796522705,227.50882660029515
Cond2,p2_secondary_USAGE_OF_MEMBRANE_std,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_std,0.9999999712201187,543.6746202800161,280.2389380310142
Cond3,p2_primary_USAGE_OF_BACKING_FILM_decreasing,p2_primary_USAGE_OF_MEMBRANE_decreasing,0.9999994792313875,1018.9500053116477,-510.97455514746315
Cond3,p2_primary_USAGE_OF_BACKING_FILM_decreasing,p2_primary_USAGE_OF_PRESSURIZED_SHEET_decreasing,0.9999994792311926,1018.9500053116477,-511.1697994531744
Cond3,p2_primary_USAGE_OF_BACKING_FILM_mean,p2_primary_USAGE_OF_MEMBRANE_mean,0.9999999999999444,-168.66887596288578,-185.64905603100402
Cond3,p2_primary_USAGE_OF_BACKING_FILM_mean,p2_primary_USAGE_OF_PRESSURIZED_SHEET_mean,0.9999999999999444,-168.66887596288578,-185.64818614732846
Cond3,p2_primary_USAGE_OF_BACKING_FILM_mean,p2_secondary_USAGE_OF_BACKING_FILM_mean,0.9999995533680599,-168.66887596288578,528.3538348577885
Cond3,p2_primary_USAGE_OF_BACKING_FILM_mean,p2_secondary_USAGE_OF_MEMBRANE_mean,0.999999553320207,-168.66887596288578,-213.41653576869928
Cond3,p2_primary_USAGE_OF_BACKING_FILM_mean,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_mean,0.9999995532956399,-168.66887596288578,225.03572498065392
Cond3,p2_primary_USAGE_OF_BACKING_FILM_std,p2_primary_USAGE_OF_MEMBRANE_std,0.9999993337133264,906.7163028276029,-454.6331609193029
Cond3,p2_primary_USAGE_OF_BACKING_FILM_std,p2_primary_USAGE_OF_PRESSURIZED_SHEET_std,0.999999333713014,906.7163028276029,-454.4819387864918
Cond3,p2_primary_USAGE_OF_DRESSER_TABLE_mean,p2_secondary_USAGE_OF_DRESSER_TABLE_mean,0.9999999762543501,-1274.7492349598162,1274.7284001234636
Cond3,p2_primary_USAGE_OF_DRESSER_mean,p2_secondary_USAGE_OF_DRESSER_mean,0.9999997746448772,220.5487215372179,-220.63540794876366
Cond3,p2_primary_USAGE_OF_MEMBRANE_decreasing,p2_primary_USAGE_OF_PRESSURIZED_SHEET_decreasing,0.9999999999999909,-510.97455514746315,-511.1697994531744
Cond3,p2_primary_USAGE_OF_MEMBRANE_mean,p2_primary_USAGE_OF_PRESSURIZED_SHEET_mean,1.0,-185.64905603100402,-185.64818614732846
Cond3,p2_primary_USAGE_OF_MEMBRANE_mean,p2_secondary_USAGE_OF_BACKING_FILM_mean,0.9999995534236699,-185.64905603100402,528.3538348577885
Cond3,p2_primary_USAGE_OF_MEMBRANE_mean,p2_secondary_USAGE_OF_MEMBRANE_mean,0.9999995533758191,-185.64905603100402,-213.41653576869928
Cond3,p2_primary_USAGE_OF_MEMBRANE_mean,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_mean,0.99999955335125,-185.64905603100402,225.03572498065392
Cond3,p2_primary_USAGE_OF_MEMBRANE_std,p2_primary_USAGE_OF_PRESSURIZED_SHEET_std,0.9999999999999973,-454.6331609193029,-454.4819387864918
Cond3,p2_primary_USAGE_OF_PRESSURIZED_SHEET_mean,p2_secondary_USAGE_OF_BACKING_FILM_mean,0.999999553423669,-185.64818614732846,528.3538348577885
Cond3,p2_primary_USAGE_OF_PRESSURIZED_SHEET_mean,p2_secondary_USAGE_OF_MEMBRANE_mean,0.9999995533758189,-185.64818614732846,-213.41653576869928
Cond3,p2_primary_USAGE_OF_PRESSURIZED_SHEET_mean,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_mean,0.9999995533512496,-185.64818614732846,225.03572498065392
Cond3,p2_secondary_USAGE_OF_BACKING_FILM_decreasing,p2_secondary_USAGE_OF_MEMBRANE_decreasing,0.9999997906679695,314.22914240511614,-19189.082580047718
Cond3,p2_secondary_USAGE_OF_BACKING_FILM_decreasing,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_decreasing,0.9999994130637329,314.22914240511614,18878.73390987651
Cond3,p2_secondary_USAGE_OF_BACKING_FILM_mean,p2_secondary_USAGE_OF_MEMBRANE_mean,0.9999999999999408,528.3538348577885,-213.41653576869928
Cond3,p2_secondary_USAGE_OF_BACKING_FILM_mean,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_mean,0.9999999999998862,528.3538348577885,225.03572498065392
Cond3,p2_secondary_USAGE_OF_BACKING_FILM_std,p2_secondary_USAGE_OF_MEMBRANE_std,0.9999997086081759,416.750289154021,-19952.297325621497
Cond3,p2_secondary_USAGE_OF_BACKING_FILM_std,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_std,0.9999993504694301,416.750289154021,19539.070045015545
Cond3,p2_secondary_USAGE_OF_MEMBRANE_decreasing,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_decreasing,0.9999997363254172,-19189.082580047718,18878.73390987651
Cond3,p2_secondary_USAGE_OF_MEMBRANE_mean,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_mean,0.999999999999978,-213.41653576869928,225.03572498065392
Cond3,p2_secondary_USAGE_OF_MEMBRANE_std,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_std,0.9999997504770647,-19952.297325621497,19539.070045015545
