condition,feature,ols_standardized_coefficient,ridge_standardized_coefficient,train_min,train_max,imputation_value,scaler_mean,scaler_scale
Cond1,p2_primary_USAGE_OF_BACKING_FILM_decreasing,64.9963319570292,-0.20369167867960708,-0.042029494445368014,-0.031226397232202392,-0.039451203167842515,-0.039451203167842515,0.0011809903157126442
Cond1,p2_primary_USAGE_OF_BACKING_FILM_mean,642.0772888585433,0.010839289879430105,31.746453900717555,10524.599627565924,4777.968315757523,4777.968315757523,2921.3689791359766
Cond1,p2_primary_USAGE_OF_BACKING_FILM_std,100.56829327781132,-0.08538862676537307,1.6336659473230344,2.4571421057708807,2.1247999637602315,2.1247999637602315,0.09174676516901009
Cond1,p2_primary_USAGE_OF_DRESSER_TABLE_decreasing,-0.415246585254085,-0.18514060153064396,-0.0010052571592076163,1.068864960714473e-05,-0.00013392499707283567,-0.00013392499707283567,0.00016285785544096462
Cond1,p2_primary_USAGE_OF_DRESSER_TABLE_mean,-379.3656070669564,-0.048787308848755234,2664.7550505050503,4304.5,3494.8106704035326,3494.8106704035326,488.6625760593162
Cond1,p2_primary_USAGE_OF_DRESSER_TABLE_std,-0.4660365280099974,-0.16554560404314198,0.0,0.08467264998941132,0.022280289593880828,0.022280289593880828,0.022982478465421237
Cond1,p2_primary_USAGE_OF_DRESSER_mean,68.25512162471543,-0.09779491614869987,7.777777777780001,771.4876202164307,394.9164526442894,394.9164526442894,220.10047387287028
Cond1,p2_primary_USAGE_OF_MEMBRANE_decreasing,-0.29383691422324,-0.05415443996493636,-0.0004975122693150787,-0.0003702734849202839,-0.00046780094886307116,-0.00046780094886307116,1.4002372570883181e-05
Cond1,p2_primary_USAGE_OF_MEMBRANE_mean,636.9148493504008,0.01083894000184346,0.3764401648305478,124.7976240422905,56.65575554267244,56.65575554267244,34.6407389313907
Cond1,p2_primary_USAGE_OF_MEMBRANE_std,-31.070926396308913,-0.19648290543679003,0.019371532962527107,0.029136072397024496,0.025195223182210322,0.025195223182210322,0.001088209273521088
Cond1,p2_primary_USAGE_OF_POLISHING_TABLE_mean,-62.28178799158217,-0.14089536927311064,12.906548933043709,346.9776959279226,168.13382618100437,168.13382618100437,94.6603131729764
Cond1,p2_primary_USAGE_OF_PRESSURIZED_SHEET_decreasing,-65.38864251770958,-0.13013361305332913,-0.01258706041139185,-0.009367919169498173,-0.011835153344742454,-0.011835153344742454,0.0003540644048877176
Cond1,p2_primary_USAGE_OF_PRESSURIZED_SHEET_mean,633.850054720737,0.010837428599739478,9.523936170212766,3157.3798882681563,1433.3906392927079,1433.3906392927079,876.4107112780086
Cond1,p2_primary_USAGE_OF_PRESSURIZED_SHEET_std,-70.34078315272612,-0.1436606447196037,0.490099784066651,0.7371426317171328,0.6374274251010591,0.6374274251010591,0.027525041784022944
Cond1,p2_primary_duration,0.4766556677792746,0.26440079552375,150.0,262.0,183.90434837087355,183.90434837087355,7.3842352880962565
Cond1,p2_secondary_CENTER_AIR_BAG_PRESSURE_auc,7.909280680328171,-0.1930591877973868,0.0,63332.1995310951,6682.068249888945,6682.068249888945,5052.005624969102
Cond1,p2_secondary_CENTER_AIR_BAG_PRESSURE_std,-0.40314853005949947,0.17993051614822797,0.0,59.304819141087634,18.963663531206752,18.963663531206755,12.633473730924003
Cond1,p2_secondary_DRESSING_WATER_STATUS_std,0.025099568359975954,0.02475730873571673,0.0,0.4997212605882897,0.1553059237000604,0.1553059237000604,0.1615059169007954
Cond1,p2_secondary_EDGE_AIR_BAG_PRESSURE_auc,54.10186748877258,-0.5525960982993906,0.0,42550.2104543972,4732.674902291258,4732.674902291258,3520.687807431283
Cond1,p2_secondary_EDGE_AIR_BAG_PRESSURE_mean,-57.48979996795076,-0.1824555540608583,0.0,59.607614607641025,28.666800690970096,28.666800690970096,19.125738158729074
Cond1,p2_secondary_EDGE_AIR_BAG_PRESSURE_std,3.1249795884611515,0.08190917392222942,0.0,61.48410266878048,13.268822592091803,13.268822592091801,8.936569678914454
Cond1,p2_secondary_MAIN_OUTER_AIR_BAG_PRESSURE_auc,-76.1003483262835,-0.17902771595090747,0.0,236857.64519941807,25398.623624373125,25398.623624373125,19146.293341120963
Cond1,p2_secondary_MAIN_OUTER_AIR_BAG_PRESSURE_mean,68.16336081824821,0.27863503424360947,0.0,405.9846153846154,153.63129892821553,153.63129892821553,103.26419318065157
Cond1,p2_secondary_PRESSURIZED_CHAMBER_PRESSURE_std,-0.3175342503494569,-0.44632879367247014,0.0,79.16901478420596,18.097918684370473,18.097918684370473,12.997628447761294
Cond1,p2_secondary_RETAINER_RING_PRESSURE_auc,-0.9766120427017069,0.2902348247996604,0.0,1291236.2852969705,189551.66022782482,189551.66022782485,134186.2418776076
Cond1,p2_secondary_RETAINER_RING_PRESSURE_std,1.0875168315840753,0.09489701078897704,0.0,2157.5074695248736,1030.2030279204303,1030.2030279204305,680.2252699218592
Cond1,p2_secondary_RIPPLE_AIR_BAG_PRESSURE_auc,-4.831494661362454,-0.22169948044571947,0.0,8772.024431796366,957.1665563776028,957.1665563776028,718.3722320343321
Cond1,p2_secondary_RIPPLE_AIR_BAG_PRESSURE_mean,3.229866244658578,0.24812531894963805,0.0,14.355186480177949,5.7924155120607415,5.792415512060741,3.8895188339365796
Cond1,p2_secondary_RIPPLE_AIR_BAG_PRESSURE_std,-2.6509415025661447,0.03731627299303643,0.0,8.87794111743162,2.6822642292132706,2.682264229213271,1.812917702140992
Cond1,p2_secondary_SLURRY_FLOW_LINE_A_auc,-8.983280226535665,-0.13891540899185226,0.0,3312.3553472958038,619.3132516501526,619.3132516501526,395.06896391066095
Cond1,p2_secondary_SLURRY_FLOW_LINE_A_mean,7.776356271361327,0.035331384530143034,0.0,10.360761705099183,3.911784995717542,3.9117849957175426,2.3719901892534834
Cond1,p2_secondary_SLURRY_FLOW_LINE_B_auc,20.27666341159102,0.14538759252712857,0.0,805.908636369569,104.32834835183799,104.32834835183797,71.33272351477018
Cond1,p2_secondary_SLURRY_FLOW_LINE_B_mean,-16.83554348005223,0.1377157255989918,0.0,0.9090909090910002,0.6397998923990463,0.6397998923990463,0.3913409603554077
Cond1,p2_secondary_SLURRY_FLOW_LINE_C_auc,5.068759140750313,0.21284943507754955,0.0,395584.698603022,38992.122861171665,38992.12286117166,29224.913794801545
Cond1,p2_secondary_SLURRY_FLOW_LINE_C_mean,-2.0655554296692706,0.574261367725545,0.0,413.55828220858893,236.48545838082646,236.4854583808265,150.33539703338468
Cond1,p2_secondary_STAGE_ROTATION_mean,0.2030041575868866,0.25195723417263133,15.561040917062716,132.4325017087015,64.6288642781978,64.62886427819781,8.796040010683754
Cond1,p2_secondary_USAGE_OF_BACKING_FILM_decreasing,-1568.0585108211765,0.4178294461995512,-0.04237873559935339,9.894982133862138e-23,-0.027679356448168567,-0.027679356448168567,0.018654843061795018
Cond1,p2_secondary_USAGE_OF_BACKING_FILM_mean,-679.7410897494934,0.009021148075283338,37.87211740041571,10527.5,4783.236467592602,4783.236467592601,2921.4014399716275
Cond1,p2_secondary_USAGE_OF_BACKING_FILM_std,-1621.5137446157903,0.23180457531085552,0.0,5.895253737093495,1.3334915421141926,1.3334915421141926,0.9124519237965144
Cond1,p2_secondary_USAGE_OF_DRESSER_TABLE_mean,379.08139427609564,-0.10613725843305649,2665.0,4304.75,3494.7785723489437,3494.7785723489437,488.63130737872973
Cond1,p2_secondary_USAGE_OF_DRESSER_mean,-68.46112950456796,-0.1740239785188593,8.14814814815,771.8518518519999,395.0577111133168,395.0577111133168,220.07104973453548
Cond1,p2_secondary_USAGE_OF_MEMBRANE_decreasing,5353.7479056136635,0.4215426810078319,-0.0005025146513758352,2.8844758751131625e-24,-0.0003282301795172714,-0.0003282301795172714,0.00022121469342616383
Cond1,p2_secondary_USAGE_OF_MEMBRANE_mean,-679.355739324208,0.00902084222093804,0.4490764909140692,124.83201581,56.718223501513464,56.718223501513464,34.64112303704925
Cond1,p2_secondary_USAGE_OF_MEMBRANE_std,5504.176349957736,0.22835163668805156,0.0,0.06988049387604336,0.015812849971762438,0.015812849971762438,0.010819908224107024
Cond1,p2_secondary_USAGE_OF_POLISHING_TABLE_mean,62.16247705409752,0.09842158809432315,16.2962962963,349.62962963,173.00531783586013,173.0053178358601,94.54454501459699
Cond1,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_decreasing,-3785.403447797066,0.4198439546616566,-0.012713620679839395,-0.0,-0.008304138863227312,-0.008304138863227312,0.005596668002386313
Cond1,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_mean,-553.7184502757832,0.009022734984144081,11.361635220125786,3158.25,1434.971080843286,1434.9710808432858,876.4204202637854
Cond1,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_std,-3882.398097249113,0.229865769463626,0.0,1.7679764948405132,0.40006083576566526,0.40006083576566526,0.27374065803427017
Cond2,lag_1,0.5353772962196501,0.9680194750420772,54.3072,101.4648,79.96453323095824,79.96453323095824,9.142906814277206
Cond2,lag_2,0.0826977218558298,0.5775538134776519,54.3072,101.4648,79.95631439114392,79.95631439114392,9.13990671694968
Cond2,lag_3,-0.045242758850065456,0.21696944788927047,54.3072,101.4648,79.954073091133,79.954073091133,9.139684118322203
