split,model,repeat,stage,n_v2,mse_v2,rmse_v2,mae_v2,r2_v2,relative_error_v2,mape_percent_v2,s_score_literal_mean_v2,s_score_minus_one_mean_v2,s_score_overflow,n_v1,mse_v1,rmse_v1,mae_v1,r2_v1,relative_error_v1,mape_percent_v1,s_score_literal_mean_v1,s_score_minus_one_mean_v1,mse_reduction_percent
validation,P2_Bagging,0,A,252,6.8539660766641815,2.618008036019787,1.93851956395794,0.9945046004629786,0.023200829811159045,2.3200829811159047,1.2099497238075623,0.20994972380756233,False,252,7.747697862398283,2.7834686745854142,1.9873646003664716,0.9937880207211753,0.023713231051408483,2.3713231051408483,1.2216203710808542,0.2216203710808541,11.535449647199448
validation,P2_Bagging,0,B,172,7.449188961777194,2.7293202380404527,2.105147712223596,0.9173833356008058,0.02709565129990151,2.709565129990151,1.224225354803598,0.22422535480359793,False,172,8.374775822226583,2.893920493418329,2.187616920626184,0.9071179363184915,0.02807385581760802,2.807385581760802,1.2359278282927693,0.23592782829276904,11.052079244830527
validation,P2_Integrated,0,all,424,6.827695951448245,2.612986022053743,1.971862517291606,0.9917010780453284,0.02430217492685634,2.430217492685634,1.2115377677037766,0.21153776770377675,False,424,7.931686861811698,2.8163250632360777,2.0918361239006136,0.9903592001308863,0.02575711005780751,2.575711005780751,1.2294611922343246,0.2294611922343245,13.918740484811408
validation,P2_Integrated,0,A,252,6.473596439439396,2.5443263233004125,1.917925590095917,0.9948095747078058,0.022910392367989797,2.2910392367989796,1.2054209917405976,0.20542099174059758,False,252,7.537334683794024,2.745420675196066,1.996836485203752,0.9939566865274221,0.023784813570173206,2.3784813570173204,1.221379817708615,0.221379817708615,14.112923055437154
validation,P2_Integrated,0,B,172,7.346492910903069,2.710441460519498,2.050886387369011,0.9185223059254578,0.026341298210777096,2.6341298210777095,1.2204995557428533,0.22049955574285313,False,172,8.509458657512015,2.9170976427798943,2.2310216410611323,0.9056242104027974,0.028646753748992653,2.8646753748992655,1.241301345609201,0.2413013456092011,13.66674183888652
validation,P2_KNN,0,all,424,11.765798032434727,3.430130906020166,2.5531878183962267,0.9856989180098311,0.031800843498472,3.1800843498472,1.2916606031170579,0.29166060311705805,False,424,15.424361463012564,3.9273860853005735,2.9350060259433968,0.981252010503626,0.03696658812250258,3.696658812250258,1.3436737651920623,0.34367376519206205,23.719383388097004
validation,P2_KNN,0,A,252,9.581838592785715,3.0954545050421456,2.366882976190477,0.9923174362438286,0.02854078322405734,2.854078322405734,1.2583151935979533,0.25831519359795346,False,252,11.844553479588397,3.4415917072756317,2.5918337500000015,0.9905032279150652,0.03185389500069682,3.185389500069682,1.2963005852845133,0.2963005852845133,19.103420746944966
validation,P2_KNN,0,B,172,14.965552560292583,3.8685336447150855,2.8261460755813945,0.834021657959497,0.03657721087726558,3.657721087726558,1.3405155054357463,0.3405155054357461,False,172,20.66919641547123,4.5463387924209115,3.437793313953488,0.7707642976409852,0.044457278045148235,4.445727804514823,1.4130809822659125,0.41308098226591244,27.59489890429111
validation,P2_LR,0,all,424,12.452933159091378,3.5288713718540916,2.2460456976511076,0.9848637196019073,0.027309164538434783,2.7309164538434785,1.3405034749415483,0.34050347494154826,False,424,367.8587993398274,19.179645443537986,3.2336664497449674,0.5528753055541508,0.0385728716086806,3.85728716086806,154392277709145.4,154392277709144.38,96.61475186092059
validation,P2_LR,0,A,252,15.623478425333078,3.9526546048615323,2.3546799942302186,0.9874733467973297,0.02798044790976712,2.798044790976712,1.4176182733599814,0.4176182733599813,False,252,17.47801674747462,4.180671805759766,2.293344746425625,0.9859864078596563,0.027072731513627338,2.7072731513627337,1.3748572299389368,0.3748572299389367,10.610690840592662
validation,P2_LR,0,B,172,7.807715675993077,2.794228994909522,2.08688382126776,0.9134070260483826,0.026325656343226946,2.6325656343226944,1.2275213284215183,0.22752132842151845,False,172,881.2073877890886,29.685137489812785,4.611347084840748,-8.773200196238934,0.055421914073526084,5.542191407352608,380594917143472.6,380594917143471.6,99.11397523622874
validation,P2_Persistent,0,all,424,14.148188480483485,3.7614077790746756,2.8975139150943385,0.9828031721338423,0.035669587676863394,3.5669587676863395,1.3336732152980078,0.33367321529800753,False,424,15.861657018873812,3.9826695844463185,3.126163089622641,0.9807204868805731,0.038909541966149146,3.8909541966149144,1.3614372435519682,0.3614372435519681,10.802582204062716
validation,P2_Persistent,0,A,252,11.356323147499996,3.3699144124888387,2.579407142857142,0.9908946831266766,0.03080491949119157,3.080491949119157,1.2866035482567728,0.2866035482567726,False,252,13.569834038303567,3.683725565009365,2.87144107142857,0.9891199257688996,0.03498557627112922,3.498557627112922,1.3258617661708019,0.3258617661708018,16.311996775756388
validation,P2_Persistent,0,B,172,18.238595828808137,4.2706669067966585,3.3635773255813946,0.7977213414194694,0.042796892227963984,4.2796892227963985,1.4026357507305147,0.40263575073051466,False,172,19.219444176453482,4.383998651511367,3.499360465116278,0.7868430539737195,0.04465860798443414,4.465860798443414,1.413559454598793,0.4135594545987931,5.103416824337836
validation,P2_SVR,0,all,424,8.794898168662163,2.9656193566710756,2.1920317774273728,0.9893099848001389,0.027181347699058514,2.7181347699058516,1.242298333542489,0.24229833354248914,False,424,10.262866059965189,3.2035708295533576,2.3436117179997566,0.9875257004605142,0.029007142224063667,2.9007142224063664,1.265988196956224,0.265988196956224,14.303683617478736
validation,P2_SVR,0,A,252,7.894226499842157,2.8096666172060623,2.06825681866618,0.9936705364212295,0.025001095654031257,2.500109565403126,1.226104844392684,0.22610484439268405,False,252,9.511385492572463,3.0840534192151186,2.1902965546173556,0.9923739244041089,0.026292622943859048,2.6292622943859048,1.2507576937546798,0.25075769375467977,17.002349384252824
validation,P2_SVR,0,B,172,10.11448689274729,3.1803281108632944,2.373376484449585,0.8878233357381778,0.030375670462703102,3.0375670462703104,1.266023678110808,0.2660236781108082,False,172,11.363872472656858,3.371034332761513,2.568236259699554,0.8739667844155818,0.0329842286113402,3.2984228611340196,1.2883026551352308,0.2883026551352306,10.994364666761026
validation,P3_RF,0,all,424,8.513235878115884,2.917744998816018,2.114709788517346,0.9896523394368185,0.0259236457588266,2.59236457588266,1.2314779194119323,0.2314779194119322,False,424,8.513235878115884,2.917744998816018,2.1147097885173465,0.9896523394368185,0.025923645758826608,2.5923645758826606,1.2314779194119323,0.23147791941193224,0.0
validation,P3_RF,0,A,252,6.582398325715903,2.565618507439464,1.891195249330766,0.9947223391089156,0.022532132362276663,2.2532132362276664,1.2002757966461728,0.2002757966461728,False,252,6.582398325715903,2.565618507439464,1.8911952493307669,0.9947223391089156,0.022532132362276667,2.253213236227667,1.2002757966461726,0.20027579664617284,0.0
validation,P3_RF,0,B,172,11.34213740837632,3.367808992264306,2.442184578488381,0.8742078413307136,0.030892607246795118,3.089260724679512,1.2771926574175796,0.27719265741757965,False,172,11.342137408376322,3.3678089922643064,2.442184578488382,0.8742078413307136,0.03089260724679513,3.0892607246795127,1.2771926574175798,0.27719265741757976,1.1102230246251565e-14
validation,P3_RF_CPP,0,all,424,7.832736996725272,2.7987027346121045,2.0453058392068404,0.9904794716271007,0.02492633281949249,2.492633281949249,1.2210992041540483,0.221099204154048,False,424,7.8327369967252745,2.798702734612105,2.045305839206841,0.9904794716271007,0.024926332819492494,2.4926332819492494,1.2210992041540483,0.22109920415404802,3.3306690738754696e-14
validation,P3_RF_CPP,0,A,252,6.169196257698617,2.4837866771723003,1.8174326824211442,0.9950536378676021,0.021537292907121763,2.1537292907121763,1.1911664783973686,0.19116647839736856,False,252,6.169196257698618,2.4837866771723007,1.8174326824211446,0.9950536378676021,0.02153729290712177,2.153729290712177,1.1911664783973686,0.19116647839736858,3.3306690738754696e-14
validation,P3_RF_CPP,0,B,172,10.270017614368976,3.204686820013615,2.3791665107765816,0.8860983923251545,0.029891670365524016,2.9891670365524017,1.26495412793709,0.26495412793709,False,172,10.270017614368976,3.204686820013615,2.379166510776581,0.8860983923251545,0.02989167036552401,2.989167036552401,1.26495412793709,0.26495412793709006,0.0
