split,model,repeat,stage,n,mse,rmse,mae,r2,relative_error,mape_percent,s_score_literal_mean,s_score_minus_one_mean,s_score_overflow
validation,P2_Bagging,0,all,424,7.095424416851535,2.6637237876423177,2.0061140014619325,0.9913756596823512,0.02478080456602627,2.478080456602627,1.2157407816644445,0.21574078166444466,False
validation,P2_Bagging,0,A,252,6.8539660766641815,2.618008036019787,1.93851956395794,0.9945046004629786,0.023200829811159045,2.3200829811159047,1.2099497238075623,0.20994972380756233,False
validation,P2_Bagging,0,B,172,7.449188961777194,2.7293202380404527,2.105147712223596,0.9173833356008058,0.02709565129990151,2.709565129990151,1.224225354803598,0.22422535480359793,False
validation,P2_Integrated,0,all,424,6.827695951448245,2.612986022053743,1.971862517291606,0.9917010780453284,0.02430217492685634,2.430217492685634,1.2115377677037766,0.21153776770377675,False
validation,P2_Integrated,0,A,252,6.473596439439396,2.5443263233004125,1.917925590095917,0.9948095747078058,0.022910392367989797,2.2910392367989796,1.2054209917405976,0.20542099174059758,False
validation,P2_Integrated,0,B,172,7.346492910903069,2.710441460519498,2.050886387369011,0.9185223059254578,0.026341298210777096,2.6341298210777095,1.2204995557428533,0.22049955574285313,False
validation,P2_KNN,0,all,424,11.765798032434727,3.430130906020166,2.5531878183962267,0.9856989180098311,0.031800843498472,3.1800843498472,1.2916606031170579,0.29166060311705805,False
validation,P2_KNN,0,A,252,9.581838592785715,3.0954545050421456,2.366882976190477,0.9923174362438286,0.02854078322405734,2.854078322405734,1.2583151935979533,0.25831519359795346,False
validation,P2_KNN,0,B,172,14.965552560292583,3.8685336447150855,2.8261460755813945,0.834021657959497,0.03657721087726558,3.657721087726558,1.3405155054357463,0.3405155054357461,False
validation,P2_LR,0,all,424,12.452933159091378,3.5288713718540916,2.2460456976511076,0.9848637196019073,0.027309164538434783,2.7309164538434785,1.3405034749415483,0.34050347494154826,False
validation,P2_LR,0,A,252,15.623478425333078,3.9526546048615323,2.3546799942302186,0.9874733467973297,0.02798044790976712,2.798044790976712,1.4176182733599814,0.4176182733599813,False
validation,P2_LR,0,B,172,7.807715675993077,2.794228994909522,2.08688382126776,0.9134070260483826,0.026325656343226946,2.6325656343226944,1.2275213284215183,0.22752132842151845,False
validation,P2_Persistent,0,all,424,14.148188480483485,3.7614077790746756,2.8975139150943385,0.9828031721338423,0.035669587676863394,3.5669587676863395,1.3336732152980078,0.33367321529800753,False
validation,P2_Persistent,0,A,252,11.356323147499996,3.3699144124888387,2.579407142857142,0.9908946831266766,0.03080491949119157,3.080491949119157,1.2866035482567728,0.2866035482567726,False
validation,P2_Persistent,0,B,172,18.238595828808137,4.2706669067966585,3.3635773255813946,0.7977213414194694,0.042796892227963984,4.2796892227963985,1.4026357507305147,0.40263575073051466,False
validation,P2_SVR,0,all,424,8.794898168662163,2.9656193566710756,2.1920317774273728,0.9893099848001389,0.027181347699058514,2.7181347699058516,1.242298333542489,0.24229833354248914,False
validation,P2_SVR,0,A,252,7.894226499842157,2.8096666172060623,2.06825681866618,0.9936705364212295,0.025001095654031257,2.500109565403126,1.226104844392684,0.22610484439268405,False
validation,P2_SVR,0,B,172,10.11448689274729,3.1803281108632944,2.373376484449585,0.8878233357381778,0.030375670462703102,3.0375670462703104,1.266023678110808,0.2660236781108082,False
validation,P3_RF,0,all,424,8.513235878115884,2.917744998816018,2.114709788517346,0.9896523394368185,0.0259236457588266,2.59236457588266,1.2314779194119323,0.2314779194119322,False
validation,P3_RF,0,A,252,6.582398325715903,2.565618507439464,1.891195249330766,0.9947223391089156,0.022532132362276663,2.2532132362276664,1.2002757966461728,0.2002757966461728,False
validation,P3_RF,0,B,172,11.34213740837632,3.367808992264306,2.442184578488381,0.8742078413307136,0.030892607246795118,3.089260724679512,1.2771926574175796,0.27719265741757965,False
validation,P3_RF_CPP,0,all,424,7.832736996725272,2.7987027346121045,2.0453058392068404,0.9904794716271007,0.02492633281949249,2.492633281949249,1.2210992041540483,0.221099204154048,False
validation,P3_RF_CPP,0,A,252,6.169196257698617,2.4837866771723003,1.8174326824211442,0.9950536378676021,0.021537292907121763,2.1537292907121763,1.1911664783973686,0.19116647839736856,False
validation,P3_RF_CPP,0,B,172,10.270017614368976,3.204686820013615,2.3791665107765816,0.8860983923251545,0.029891670365524016,2.9891670365524017,1.26495412793709,0.26495412793709,False
