split,model,repeat,stage,n,mse,rmse,mae,r2,relative_error,mape_percent,s_score_literal_mean,s_score_minus_one_mean,s_score_overflow
test,P1_RF,18,A,238,62.19477292683841,7.886366268874304,4.729892345442369,0.9553749055872927,0.05759395979922999,5.759395979922999,3.705338130307035,2.705338130307036,False
test,P1_RF,18,B,186,21.565384624111477,4.643854500747357,3.5055367335255254,0.703645734668952,0.044307414604137944,4.4307414604137945,1.42368966910055,0.4236896691005502,False
test,P1_RF,19,all,424,43.15791240210556,6.569468197815221,4.156490406202674,0.9506119952154847,0.051388394790777524,5.1388394790777525,2.5482310745027177,1.5482310745027175,False
test,P1_RF,19,A,238,60.042891192181045,7.74873481235363,4.6544638210271545,0.9569188926629754,0.056808631365900614,5.6808631365900615,3.4283944930235504,2.42839449302355,False
test,P1_RF,19,B,186,21.552401907277787,4.642456451845056,3.5192986173412417,0.7038241448191214,0.044452823259168404,4.445282325916841,1.4220004637072425,0.42200046370724276,False
validation,P1_CART_Stack,0,all,424,95.85621349502246,9.790618647206236,4.815563256318448,0.8834887727393893,0.06314104889274866,6.314104889274866,33.92057355908629,32.92057355908629,False
validation,P1_CART_Stack,0,A,252,144.62737853155767,12.026112361505595,5.472969282553931,0.8840400988080528,0.07139581150712007,7.139581150712007,56.058244613223856,55.058244613223856,False
validation,P1_CART_Stack,0,B,172,24.400785650796482,4.939715138628591,3.852386985322275,0.7293783887705836,0.05104686180657658,5.104686180657659,1.4863113169777673,0.4863113169777674,False
validation,P1_CART_Stack,1,all,424,94.20459997054618,9.705905417350108,4.804262708177679,0.8854962745139816,0.06320629905364249,6.320629905364249,32.87482306981498,31.874823069814983,False
validation,P1_CART_Stack,1,A,252,140.5312075830646,11.854585930477057,5.464706176344812,0.8873243426578363,0.07151659397067658,7.151659397067658,54.289712640894024,53.289712640894024,False
validation,P1_CART_Stack,1,B,172,26.330733003368074,5.13134806881857,3.8366362315607168,0.7079739360773227,0.051030750686825076,5.103075068682507,1.499519744745688,0.49951974474568794,False
validation,P1_CART_Stack,2,all,424,95.93060899874416,9.794417236300696,4.738024487173805,0.8833983465570351,0.06208367491800756,6.208367491800756,35.17087697466232,34.17087697466232,False
validation,P1_CART_Stack,2,A,252,143.55148743375025,11.98129740194067,5.319634310179834,0.8849027309504712,0.06933716652131758,6.933716652131758,58.1521890520739,57.1521890520739,False
validation,P1_CART_Stack,2,B,172,26.160484780014258,5.114732131794808,3.8858984674207857,0.7098621067769186,0.05145646628990217,5.145646628990217,1.5005825356639595,0.5005825356639593,False
validation,P1_CART_Stack,3,all,424,96.7232990902618,9.834800409274294,4.784725411705207,0.8824348482919504,0.06170898719825029,6.170898719825029,33.22037014903699,32.22037014903699,False
validation,P1_CART_Stack,3,A,252,145.07128049889587,12.044553976752143,5.458779708998554,0.8836841853648715,0.069548860866925,6.9548860866924995,54.87664245825635,53.87664245825635,False
validation,P1_CART_Stack,3,B,172,25.887884468309558,5.0880138038638965,3.797157487763792,0.7128854330185784,0.05022266066042453,5.022266066042453,1.4914130448318839,0.49141304483188386,False
validation,P1_CART_Stack,4,all,424,90.13673415008223,9.494036767891846,4.754459267401985,0.8904406805341334,0.06215047526329678,6.215047526329678,31.72222495849294,30.72222495849294,False
validation,P1_CART_Stack,4,A,252,134.80173594098187,11.61041497712213,5.397920350765104,0.8919181406803387,0.07007445693161578,7.007445693161578,52.35963364976391,51.35963364976391,False
validation,P1_CART_Stack,4,B,172,24.697312921554918,4.969639113814495,3.81171395921881,0.7260896959827966,0.05054092072599219,5.054092072599219,1.4860215270959571,0.486021527095957,False
