track,split,model,repeat,n,mse,rmse,mae,r2,relative_error,mape_percent,s_score_literal_mean,s_score_minus_one_mean
grouped,test,P1_GBT,4,296,127.80678508221469,11.305166300511226,5.406804009807491,0.835511421352356,0.06514264724886198,6.514264724886198,24.430713559069897,23.430713559069897
grouped,test,P1_GBT,5,296,130.89157590022404,11.440785632998463,5.420233804439432,0.8315412654897134,0.06557284573325763,6.557284573325763,25.50145960137301,24.50145960137301
grouped,test,P1_GBT,6,296,134.1616278308811,11.58281605788856,5.375180478189759,0.827332676768608,0.06549762339279873,6.549762339279873,28.281253899155665,27.28125389915566
grouped,test,P1_GBT,7,296,129.7037369422179,11.388754845996901,5.3494271427323925,0.8330700258113117,0.0651241565881004,6.51241565881004,25.430286171701262,24.430286171701262
grouped,test,P1_GBT,8,296,131.6185433801307,11.472512513836309,5.368993159101219,0.8306056512543973,0.06532590212062257,6.532590212062257,26.37616854532526,25.37616854532526
grouped,test,P1_GBT,9,296,131.2069752828501,11.454561330878198,5.388266542421635,0.8311353434088072,0.06538945200954627,6.538945200954627,25.789912437890315,24.78991243789032
grouped,test,P1_GBT,10,296,133.2001375171746,11.541236394649172,5.3662236766968885,0.8285701241778618,0.06543500172144949,6.543500172144949,27.387398705815283,26.387398705815283
grouped,test,P1_GBT,11,296,129.5103358461287,11.380260798686852,5.383990298673639,0.8333189349078369,0.06531222832641194,6.531222832641194,25.243563203006705,24.243563203006705
grouped,test,P1_GBT,12,296,129.77353506540743,11.391818777763604,5.437767008912576,0.8329801949461637,0.06563218374086097,6.563218374086096,24.86243254270049,23.86243254270049
grouped,test,P1_GBT,13,296,132.08383441668985,11.492773138659349,5.439944094534531,0.8300068171532824,0.0658114595403382,6.581145954033819,25.911160009976125,24.911160009976125
grouped,test,P1_GBT,14,296,129.18935064242712,11.366149332224486,5.367288892511387,0.8337320459949349,0.0651225430347059,6.5122543034705895,25.110872229843164,24.110872229843164
grouped,test,P1_GBT,15,296,128.91195803213714,11.353940198545047,5.383795708365895,0.8340890529892396,0.06528809275551013,6.528809275551013,24.90974222195661,23.90974222195661
grouped,test,P1_GBT,16,296,132.19089861140554,11.497430087258872,5.402840168395531,0.8298690244906979,0.06568237165122705,6.568237165122705,26.55848022852038,25.55848022852038
grouped,test,P1_GBT,17,296,131.1046736254319,11.450094917747709,5.4118634633697935,0.8312670066394502,0.06550069569976151,6.550069569976151,25.551868907251784,24.551868907251784
grouped,test,P1_GBT,18,296,128.57969152291435,11.33929854633497,5.376217769841823,0.8345166832265475,0.06505723083859274,6.505723083859275,24.74356238711186,23.74356238711186
grouped,test,P1_GBT,19,296,129.88490061145504,11.396705691183529,5.384979911761103,0.8328368664024725,0.06519296229837507,6.519296229837507,25.264784042974316,24.264784042974316
grouped,test,P1_RF,0,296,49.14641263488485,7.0104502448048835,4.760458676166825,0.936748087711129,0.05651499993562713,5.651499993562712,1.8075334106621785,0.8075334106621784
grouped,test,P1_RF,1,296,49.12695821500748,7.0090625774783515,4.6846326104623985,0.9367731257392118,0.05567343961162587,5.567343961162587,1.8544459488118188,0.854445948811819
