partition,policy,model,n,mse,rmse,mae,r2
outer_3,retrospective,previous_control,188,39.87547140494561,6.314702796248261,4.839945676805419,0.9284112410437592
outer_3,retrospective,robust_reference,188,37.33357763268722,6.110120918008679,4.672631229522065,0.9329747236595911
outer_3,retrospective,selected,188,16.0669379451219,4.008358510053947,3.1212299985766427,0.9711548952979762
outer_4,completed,base_direct,259,17.450582269187578,4.177389408373078,3.2498835426082957,0.9775720759118744
outer_4,completed,base_residual,259,16.738221221031544,4.091237125984211,3.115937878922017,0.9784876201192211
outer_4,completed,history_anchor,259,53.10255434819753,7.287149946872065,5.772757152509656,0.9317512711361015
outer_4,completed,joint_direct,259,21.813641425154525,4.6705076196442,3.732232262741318,0.9719645633353566
outer_4,completed,joint_residual,259,17.763019472857167,4.214619730516286,3.2859224354295327,0.9771705238158976
outer_4,completed,previous_control,259,19.026534935353578,4.3619416474035475,3.3767539120825254,0.9755466221924498
outer_4,completed,robust_reference,259,18.253534484052643,4.272415532699581,3.315497407546865,0.9765401016749354
outer_4,completed,selected,259,18.215046792113274,4.267908948432859,3.366393917339281,0.9765895670176861
outer_4,retrospective,base_direct,259,16.437321546927045,4.054296677221222,3.2204441209346584,0.978874343894099
outer_4,retrospective,base_residual,259,17.1472400192738,4.140922604839868,3.2274570615422844,0.9779619389461756
outer_4,retrospective,history_anchor,259,30.834647510716895,5.552895416871895,4.412159739382241,0.9603705410520571
outer_4,retrospective,joint_direct,259,16.020026373113268,4.002502513817233,3.1385943993597687,0.979410662071697
outer_4,retrospective,joint_residual,259,14.652653027163108,3.827878397645765,2.941043899723456,0.9811680444403785
outer_4,retrospective,paper_v2,259,53.537086872577184,7.316904186373987,5.795087090074129,0.9311927990851249
outer_4,retrospective,previous_control,259,43.132788739130426,6.5675557659703525,5.1689750028339505,0.9445646628503352
outer_4,retrospective,robust_reference,259,29.286110346985367,5.4116642862418365,4.353872766078536,0.9623607596831646
outer_4,retrospective,selected,259,16.528363889775402,4.065509056658883,3.153337225927502,0.9787573340016661
