evaluation,policy,model,dimension,value,n,mse,rmse,mae,r2,relative_error,mape_percent,s_score_literal_mean,s_score_minus_one_mean,s_score_overflow
nested_oof,retrospective,joint_direct,condition,Cond1,798,18.10211981269868,4.25465860119219,3.381811463235725,0.590636026568391,0.04681506366965049,4.681506366965049,1.3799978914436106,0.37999789144361057,False
nested_oof,retrospective,joint_direct,condition,Cond2,815,19.894240677888703,4.460296030297619,3.486107257765327,0.7621080189528374,0.04464223496442336,4.464223496442336,1.4144789082851044,0.41447890828510436,False
nested_oof,retrospective,joint_direct,condition,Cond3,364,14.568977816844168,3.8169330380351405,2.9478551648031037,0.03940519097380413,0.019460154779578208,1.9460154779578207,1.330465381005082,0.33046538100508194,False
nested_oof,retrospective,joint_residual,all,all,1977,24.467981427466345,4.946512046631075,3.935027187186485,0.9728900255732331,0.04828483113849928,4.828483113849928,1.4723446096047321,0.47234460960473185,False
nested_oof,retrospective,joint_residual,STAGE,A,1162,19.660148841811225,4.433976639745774,3.4944030605410936,0.9854291589821371,0.04156115356478853,4.156115356478853,1.40887720600584,0.40887720600584004,False
nested_oof,retrospective,joint_residual,STAGE,B,815,31.322829850204066,5.596680252632275,4.56325446959378,0.62544687350897,0.05787122787549546,5.787122787549546,1.562834331054931,0.562834331054931,False
nested_oof,retrospective,joint_residual,condition,Cond1,798,21.091533656100292,4.592551976417936,3.6316556751920093,0.5230329866024379,0.05086261834998126,5.086261834998126,1.4230086904449584,0.4230086904449584,False
nested_oof,retrospective,joint_residual,condition,Cond2,815,31.322829850204066,5.596680252632275,4.56325446959378,0.62544687350897,0.05787122787549546,5.787122787549546,1.562834331054931,0.562834331054931,False
nested_oof,retrospective,joint_residual,condition,Cond3,364,16.522112902792873,4.064740201143595,3.1935030976525467,-0.08937333065453501,0.02116948076648141,2.116948076648141,1.3778966439662346,0.37789664396623457,False
nested_oof,retrospective,paper_v2,all,all,1977,36.406158288213945,6.033751593180974,4.6278515893604215,0.9596627934717006,0.058008440925036486,5.800844092503649,1.6022325930871477,0.6022325930871475,False
nested_oof,retrospective,paper_v2,STAGE,A,1162,33.00235483000716,5.744767604525631,4.254367097619038,0.9755407718775524,0.05299690122552132,5.299690122552132,1.5538145382448434,0.5538145382448435,False
nested_oof,retrospective,paper_v2,STAGE,B,815,41.25918849488423,6.423331572858763,5.160353404579423,0.5066295695137857,0.06515372820213662,6.5153728202136625,1.6712654516475858,0.6712654516475858,False
nested_oof,retrospective,paper_v2,condition,Cond1,798,42.298089711694395,6.503698156564033,4.943849228497648,0.04346483991343708,0.06889306725468702,6.889306725468702,1.6663127453699391,0.6663127453699389,False
nested_oof,retrospective,paper_v2,condition,Cond2,815,41.25918849488423,6.423331572858763,5.160353404579423,0.5066295695137857,0.06515372820213662,6.5153728202136625,1.6712654516475858,0.6712654516475858,False
nested_oof,retrospective,paper_v2,condition,Cond3,364,12.623243743231306,3.5529204527024394,2.7428101183851648,0.1676957323113688,0.018147614161581158,1.8147614161581158,1.3071838533936726,0.3071838533936726,False
nested_oof,retrospective,previous_control,all,all,1977,31.112248067864446,5.577835428538964,4.340137985125529,0.9655283272149201,0.0541711467592263,5.4171146759226305,1.54914129594865,0.54914129594865,False
nested_oof,retrospective,previous_control,STAGE,A,1162,26.88306953803517,5.184888575276731,3.9302562705977397,0.9800759935510857,0.04848819596910323,4.848819596910324,1.4935378374382082,0.4935378374382085,False
nested_oof,retrospective,previous_control,STAGE,B,815,37.14207070794005,6.0944294817431475,4.9245337547958234,0.5558613709380662,0.062273709726248384,6.227370972624838,1.628418865015071,0.6284188650150712,False
nested_oof,retrospective,previous_control,condition,Cond1,798,33.057305853731755,5.749548317366483,4.436133030348589,0.2524372716981712,0.06209200824138883,6.2092008241388825,1.573820887931171,0.5738208879311708,False
nested_oof,retrospective,previous_control,condition,Cond2,815,37.14207070794005,6.0944294817431475,4.9245337547958234,0.5558613709380662,0.062273709726248384,6.227370972624838,1.628418865015071,0.6284188650150712,False
nested_oof,retrospective,previous_control,condition,Cond3,364,13.347243769008045,3.6533879850089894,2.8212187588362623,0.11995932449750779,0.018664453679861723,1.8664453679861723,1.3175326882805602,0.31753268828056025,False
nested_oof,retrospective,robust_reference,all,all,1977,26.564177001386593,5.154044722486078,4.00982594072744,0.9705674879102493,0.05011130172604051,5.011130172604051,1.497565738469961,0.4975657384699608,False
nested_oof,retrospective,robust_reference,STAGE,A,1162,25.34264128930475,5.034147523593717,3.8014215900275694,0.9812176601423345,0.047112802031555406,4.711280203155541,1.4794430170903563,0.4794430170903564,False
nested_oof,retrospective,robust_reference,STAGE,B,815,28.305802151618614,5.320319741483458,4.306961959762102,0.6615239828448576,0.05438646325363768,5.438646325363768,1.523404514228366,0.523404514228366,False
nested_oof,retrospective,robust_reference,condition,Cond1,798,31.182306993881003,5.5841120148042345,4.293734810614571,0.2948387689476699,0.06039813284572845,6.039813284572845,1.561104076342859,0.5611040763428591,False
