policy,condition,variant,feature,importance
retrospective,Cond1,base_direct,p2_secondary_USAGE_OF_MEMBRANE_decreasing,0.20821619411362716
retrospective,Cond1,base_direct,p2_secondary_USAGE_OF_MEMBRANE_mean,0.0
retrospective,Cond1,base_direct,p2_secondary_USAGE_OF_MEMBRANE_std,0.05598103412666361
retrospective,Cond1,base_direct,p2_secondary_USAGE_OF_POLISHING_TABLE_decreasing,0.0
retrospective,Cond1,base_direct,p2_secondary_USAGE_OF_POLISHING_TABLE_mean,0.43651571565218317
retrospective,Cond1,base_direct,p2_secondary_USAGE_OF_POLISHING_TABLE_std,0.07379082880264211
retrospective,Cond1,base_direct,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_decreasing,0.0
retrospective,Cond1,base_direct,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_mean,0.0
retrospective,Cond1,base_direct,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_std,0.0
retrospective,Cond1,base_direct,p2_secondary_WAFER_ROTATION_mean,0.0903430649513154
retrospective,Cond1,base_direct,p2_secondary_duration,0.22705246974507054
retrospective,Cond1,joint_direct,lag_1,16.708082494221074
retrospective,Cond1,joint_direct,lag_2,0.27641135238486697
retrospective,Cond1,joint_direct,lag_3,0.47065628035974355
retrospective,Cond1,joint_direct,lag_4,0.12503273956682234
retrospective,Cond1,joint_direct,lag_5,0.17675926592950716
retrospective,Cond1,joint_direct,lag_6,0.0
retrospective,Cond1,joint_direct,lag_7,1.1604225239118307
retrospective,Cond1,joint_direct,lag_8,0.5739060474661177
retrospective,Cond1,joint_direct,lag_9,0.6419171223006681
retrospective,Cond1,joint_direct,lag_10,0.0
retrospective,Cond1,joint_direct,lag_11,0.021408596085242308
retrospective,Cond1,joint_direct,neighbor_1,3.4631605863109947
retrospective,Cond1,joint_direct,neighbor_2,2.019952273547017
retrospective,Cond1,joint_direct,neighbor_3,2.9152861326721826
retrospective,Cond1,joint_direct,neighbor_4,1.5659293023808585
retrospective,Cond1,joint_direct,neighbor_5,0.25528098233956176
retrospective,Cond1,joint_direct,neighbor_6,0.4535793746009902
retrospective,Cond1,joint_direct,neighbor_7,2.0774218805331497
retrospective,Cond1,joint_direct,neighbor_8,0.7220396690843162
retrospective,Cond1,joint_direct,neighbor_9,0.2550572303047304
retrospective,Cond1,joint_direct,neighbor_10,0.5640848891290772
retrospective,Cond1,joint_direct,p2_primary_CENTER_AIR_BAG_PRESSURE_auc,1.418211687090598
retrospective,Cond1,joint_direct,p2_primary_CENTER_AIR_BAG_PRESSURE_mean,0.0
retrospective,Cond1,joint_direct,p2_primary_CENTER_AIR_BAG_PRESSURE_std,0.0
retrospective,Cond1,joint_direct,p2_primary_DRESSING_WATER_STATUS_auc,0.2580675155253043
retrospective,Cond1,joint_direct,p2_primary_DRESSING_WATER_STATUS_mean,0.5791956945696197
retrospective,Cond1,joint_direct,p2_primary_DRESSING_WATER_STATUS_std,0.14173429004220775
retrospective,Cond1,joint_direct,p2_primary_EDGE_AIR_BAG_PRESSURE_auc,0.686114674899564
retrospective,Cond1,joint_direct,p2_primary_EDGE_AIR_BAG_PRESSURE_mean,0.0229886002364588
retrospective,Cond1,joint_direct,p2_primary_EDGE_AIR_BAG_PRESSURE_std,0.037257903508200796
retrospective,Cond1,joint_direct,p2_primary_HEAD_ROTATION_mean,0.07448069913971739
retrospective,Cond1,joint_direct,p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_auc,4.575938520834754
retrospective,Cond1,joint_direct,p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_mean,0.0
retrospective,Cond1,joint_direct,p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_std,1.1707399021325302
retrospective,Cond1,joint_direct,p2_primary_PRESSURIZED_CHAMBER_PRESSURE_auc,11.695638700030187
retrospective,Cond1,joint_direct,p2_primary_PRESSURIZED_CHAMBER_PRESSURE_mean,0.7936856120803334
retrospective,Cond1,joint_direct,p2_primary_PRESSURIZED_CHAMBER_PRESSURE_std,0.14568693731402851
retrospective,Cond1,joint_direct,p2_primary_RETAINER_RING_PRESSURE_auc,0.0464663431916209
retrospective,Cond1,joint_direct,p2_primary_RETAINER_RING_PRESSURE_mean,0.19713017675293032
retrospective,Cond1,joint_direct,p2_primary_RETAINER_RING_PRESSURE_std,0.07081031096823324
retrospective,Cond1,joint_direct,p2_primary_RIPPLE_AIR_BAG_PRESSURE_auc,0.017309308559049455
retrospective,Cond1,joint_direct,p2_primary_RIPPLE_AIR_BAG_PRESSURE_mean,0.0
retrospective,Cond1,joint_direct,p2_primary_RIPPLE_AIR_BAG_PRESSURE_std,0.2091399872487051
retrospective,Cond1,joint_direct,p2_primary_SLURRY_FLOW_LINE_A_auc,1.2640945114618773
retrospective,Cond1,joint_direct,p2_primary_SLURRY_FLOW_LINE_A_mean,0.8888155310008347
retrospective,Cond1,joint_direct,p2_primary_SLURRY_FLOW_LINE_A_std,0.18750776511497377
retrospective,Cond1,joint_direct,p2_primary_SLURRY_FLOW_LINE_B_auc,0.22055180574162872
retrospective,Cond1,joint_direct,p2_primary_SLURRY_FLOW_LINE_B_mean,0.0
retrospective,Cond1,joint_direct,p2_primary_SLURRY_FLOW_LINE_B_std,0.03476964822766863
retrospective,Cond1,joint_direct,p2_primary_SLURRY_FLOW_LINE_C_auc,1.396210673644852
retrospective,Cond1,joint_direct,p2_primary_SLURRY_FLOW_LINE_C_mean,0.061209274239632676
retrospective,Cond1,joint_direct,p2_primary_SLURRY_FLOW_LINE_C_std,0.19913200204307058
retrospective,Cond1,joint_direct,p2_primary_STAGE_ROTATION_mean,0.023215675279476346
retrospective,Cond1,joint_direct,p2_primary_USAGE_OF_BACKING_FILM_decreasing,0.007565770555483509
retrospective,Cond1,joint_direct,p2_primary_USAGE_OF_BACKING_FILM_mean,1.6583663232774495
retrospective,Cond1,joint_direct,p2_primary_USAGE_OF_BACKING_FILM_std,0.0
retrospective,Cond1,joint_direct,p2_primary_USAGE_OF_DRESSER_TABLE_decreasing,0.0
retrospective,Cond1,joint_direct,p2_primary_USAGE_OF_DRESSER_TABLE_mean,1.2107107171823377
retrospective,Cond1,joint_direct,p2_primary_USAGE_OF_DRESSER_TABLE_std,0.05126218046866322
retrospective,Cond1,joint_direct,p2_primary_USAGE_OF_DRESSER_decreasing,0.1272076670037893
retrospective,Cond1,joint_direct,p2_primary_USAGE_OF_DRESSER_mean,2.55483806810932
retrospective,Cond1,joint_direct,p2_primary_USAGE_OF_DRESSER_std,0.2771686759620681
retrospective,Cond1,joint_direct,p2_primary_USAGE_OF_MEMBRANE_decreasing,0.024601742393396138
retrospective,Cond1,joint_direct,p2_primary_USAGE_OF_MEMBRANE_mean,0.0
retrospective,Cond1,joint_direct,p2_primary_USAGE_OF_MEMBRANE_std,0.0
retrospective,Cond1,joint_direct,p2_primary_USAGE_OF_POLISHING_TABLE_decreasing,0.3563281963979943
retrospective,Cond1,joint_direct,p2_primary_USAGE_OF_POLISHING_TABLE_mean,0.4944541430208697
retrospective,Cond1,joint_direct,p2_primary_USAGE_OF_POLISHING_TABLE_std,0.0
retrospective,Cond1,joint_direct,p2_primary_USAGE_OF_PRESSURIZED_SHEET_decreasing,0.0
retrospective,Cond1,joint_direct,p2_primary_USAGE_OF_PRESSURIZED_SHEET_mean,0.0
retrospective,Cond1,joint_direct,p2_primary_USAGE_OF_PRESSURIZED_SHEET_std,0.0
retrospective,Cond1,joint_direct,p2_primary_WAFER_ROTATION_mean,0.21933199147584698
retrospective,Cond1,joint_direct,p2_primary_duration,0.04570495393992962
retrospective,Cond1,joint_direct,p2_secondary_CENTER_AIR_BAG_PRESSURE_auc,0.0
retrospective,Cond1,joint_direct,p2_secondary_CENTER_AIR_BAG_PRESSURE_mean,0.0
retrospective,Cond1,joint_direct,p2_secondary_CENTER_AIR_BAG_PRESSURE_std,0.0
retrospective,Cond1,joint_direct,p2_secondary_DRESSING_WATER_STATUS_auc,0.045196591906385156
retrospective,Cond1,joint_direct,p2_secondary_DRESSING_WATER_STATUS_mean,0.0
retrospective,Cond1,joint_direct,p2_secondary_DRESSING_WATER_STATUS_std,0.11311071526442046
retrospective,Cond1,joint_direct,p2_secondary_EDGE_AIR_BAG_PRESSURE_auc,0.13682699727316755
retrospective,Cond1,joint_direct,p2_secondary_EDGE_AIR_BAG_PRESSURE_mean,0.04781255294714613
retrospective,Cond1,joint_direct,p2_secondary_EDGE_AIR_BAG_PRESSURE_std,0.022473833987490296
retrospective,Cond1,joint_direct,p2_secondary_HEAD_ROTATION_mean,0.15199834879949523
retrospective,Cond1,joint_direct,p2_secondary_MAIN_OUTER_AIR_BAG_PRESSURE_auc,0.0
retrospective,Cond1,joint_direct,p2_secondary_MAIN_OUTER_AIR_BAG_PRESSURE_mean,0.018928012612985993
retrospective,Cond1,joint_direct,p2_secondary_MAIN_OUTER_AIR_BAG_PRESSURE_std,0.0
retrospective,Cond1,joint_direct,p2_secondary_PRESSURIZED_CHAMBER_PRESSURE_auc,0.0
retrospective,Cond1,joint_direct,p2_secondary_PRESSURIZED_CHAMBER_PRESSURE_mean,0.04444139767966289
retrospective,Cond1,joint_direct,p2_secondary_PRESSURIZED_CHAMBER_PRESSURE_std,0.0
retrospective,Cond1,joint_direct,p2_secondary_RETAINER_RING_PRESSURE_auc,0.0
retrospective,Cond1,joint_direct,p2_secondary_RETAINER_RING_PRESSURE_mean,0.011427741511460279
retrospective,Cond1,joint_direct,p2_secondary_RETAINER_RING_PRESSURE_std,0.005964607664874131
retrospective,Cond1,joint_direct,p2_secondary_RIPPLE_AIR_BAG_PRESSURE_auc,0.0
retrospective,Cond1,joint_direct,p2_secondary_RIPPLE_AIR_BAG_PRESSURE_mean,0.0
retrospective,Cond1,joint_direct,p2_secondary_RIPPLE_AIR_BAG_PRESSURE_std,0.0
retrospective,Cond1,joint_direct,p2_secondary_SLURRY_FLOW_LINE_A_auc,0.0
