evaluation,policy,model,dimension,value,n,mse,rmse,mae,r2
temporal,completed,tuned,cold_history,False,166,11.767405706201181,3.4303652438481214,2.553218941601782,0.982479652829612
temporal,completed,tuned,missing_physical_feature,False,166,11.767405706201181,3.4303652438481214,2.553218941601782,0.982479652829612
temporal,retrospective,control,cold_history,False,166,39.323954539524884,6.270881480264547,4.98785038304643,0.941451042579253
temporal,retrospective,control,missing_physical_feature,False,166,39.323954539524884,6.270881480264547,4.98785038304643,0.941451042579253
temporal,retrospective,features,cold_history,False,166,39.63339205291249,6.295505702714635,4.992253561862157,0.9409903248308001
temporal,retrospective,features,missing_physical_feature,False,166,39.63339205291249,6.295505702714635,4.992253561862157,0.9409903248308001
temporal,retrospective,incumbent_refit,cold_history,False,166,32.436459824110194,5.695301556907254,4.457262516438276,0.9517057496541256
temporal,retrospective,incumbent_refit,missing_physical_feature,False,166,32.436459824110194,5.695301556907254,4.457262516438276,0.9517057496541256
temporal,retrospective,proposed,cold_history,False,166,39.72571345551108,6.302833763912156,4.985298074351618,0.9408528686178362
temporal,retrospective,proposed,missing_physical_feature,False,166,39.72571345551108,6.302833763912156,4.985298074351618,0.9408528686178362
temporal,retrospective,tuned,cold_history,False,166,38.218620150360245,6.182121007418105,5.001482113191425,0.9430967615015918
temporal,retrospective,tuned,missing_physical_feature,False,166,38.218620150360245,6.182121007418105,5.001482113191425,0.9430967615015918
test,completed,control,cold_history,False,422,9.258013139770803,3.042698332035367,2.2856691382393173,0.9893068333908338
test,completed,control,cold_history,True,2,27.870275456959696,5.279230574331803,4.869098411807226,0.9881717568335694
test,completed,control,missing_physical_feature,False,424,9.345806829946223,3.057091236771684,2.297855125378788,0.9893050723090577
test,completed,features,cold_history,False,422,9.387169476204646,3.0638488011330853,2.2779776108630796,0.9891576555701431
test,completed,features,cold_history,True,2,15.483676982289285,3.93493036562139,3.722360734257517,0.9934286728977684
test,completed,features,missing_physical_feature,False,424,9.415926587082405,3.068538184067848,2.2847907388036197,0.9892248303624903
test,completed,proposed,cold_history,False,422,9.245753305939454,3.040683032796982,2.264023700983252,0.9893209937126847
test,completed,proposed,cold_history,True,2,15.016477970739214,3.875110059177573,3.5935267212716546,0.9936269538054782
test,completed,proposed,missing_physical_feature,False,424,9.272973705301716,3.0451557768530852,2.27029494164499,0.989388419313308
test,completed,tuned,cold_history,False,422,9.013848223699428,3.002307150126287,2.2475879054543726,0.9895888481264198
test,completed,tuned,cold_history,True,2,30.427670791542724,5.516128242847761,5.089776663899816,0.9870863892369391
test,completed,tuned,missing_physical_feature,False,424,9.114856820717558,3.0190821155969836,2.260994456201757,0.9895693612777756
test,retrospective,control,cold_history,False,423,7.730394054322236,2.780358619732756,2.0184250713874183,0.9910777489748336
test,retrospective,control,missing_physical_feature,False,424,7.727472077593047,2.7798331024709104,2.0196736856034097,0.9911570229721827
test,retrospective,features,cold_history,False,423,7.698332533987623,2.774586912314628,2.026100747569104,0.9911147536773964
test,retrospective,features,missing_physical_feature,False,424,7.6942835011014346,2.773857152252335,2.027090413819696,0.9911950025101938
test,retrospective,incumbent_refit,cold_history,False,423,7.0774327741583845,2.6603444841144888,1.9491567527221858,0.9918313825425918
test,retrospective,incumbent_refit,missing_physical_feature,False,424,7.074313480095856,2.6597581619568076,1.9502175322661375,0.9919044687623703
test,retrospective,proposed,cold_history,False,423,7.828469582869178,2.7979402393312798,2.061509478255283,0.9909645523539404
test,retrospective,proposed,missing_physical_feature,False,424,7.827875288254085,2.7978340351518503,2.0631392724545927,0.9910421259817465
test,retrospective,tuned,cold_history,False,423,7.380173780842391,2.7166475260589826,1.9944977817508622,0.9914819655221573
test,retrospective,tuned,missing_physical_feature,False,424,7.378784110727969,2.7163917447098767,1.9959398761967833,0.9915560460485396
validation,completed,control,cold_history,False,424,8.995549971273991,2.9992582368435685,2.289269101755219,0.9890660967210884
validation,completed,control,missing_physical_feature,False,424,8.995549971273991,2.9992582368435685,2.289269101755219,0.9890660967210884
validation,completed,features,cold_history,False,424,8.815721828428115,2.9691281259703355,2.269810911533626,0.989284674076223
validation,completed,features,missing_physical_feature,False,424,8.815721828428115,2.9691281259703355,2.269810911533626,0.989284674076223
validation,completed,proposed,cold_history,False,424,8.762743038459913,2.9601930745240104,2.2586782755687724,0.9893490686899149
validation,completed,proposed,missing_physical_feature,False,424,8.762743038459913,2.9601930745240104,2.2586782755687724,0.9893490686899149
validation,completed,tuned,cold_history,False,424,8.930252589649557,2.988352822149613,2.275701301899635,0.9891454643258849
validation,completed,tuned,missing_physical_feature,False,424,8.930252589649557,2.988352822149613,2.275701301899635,0.9891454643258849
